record_type,source_file,record_id,study_or_system,doi_or_sources,route_or_context_axis,contrast_axis,level_1,state_1,level_2,state_2,interpretation,counted_in_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS011,Kessler_Bing_Haverkamp_Baldwin_2019_Nicotiana,10.1111/1365-2435.13332,D_to_antagonism,time_of_night_x_trait_expression,early_night_BA_emission,BA_present_and_CHAL_has_higher_flower_damage,second_half_of_night_BA_emission_stops,CHAL_EV_damage_difference_disappears,"Benzyl acetone's defensive effect tracks the period of floral emission: feeding damage is higher on scent-silenced CHAL flowers early in the night, but the difference disappears during the second half when control flowers stop emitting BA. The two time windows are dependent observations from one mechanism experiment, not separate studies.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_1_V1.csv,SSX001,Sun_Huang_2015_Pedicularis_rex,10.1093/aobpla/plv019,D_to_antagonism,antagonist_identity_or_attack_mode,pre_dispersal_seed_predators,strong_protective_effect_of_water_filled_bracts,nectar_robbers,no_detected_effect_of_water_filled_bracts,The same water-filled floral barrier protects against seed predators but is bypassed by nectar robbers that pierce the corolla above the water; antagonist identity/attack mode opens or closes the D channel.,not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_1_V1.csv,SSX002,Sun_Huang_2015_Pedicularis_rex,10.1093/aobpla/plv019,D_to_pollination_and_D_to_antagonism,consumer_function,seed_predators,strong_protective_D_effect,legitimate_pollinators,no_detected_D_effect,"A directly manipulated floral barrier reduces one antagonist class without a detectable pollinator cost in the same system, providing an independent guarded-state replication.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_1_V1.csv,SSX003,Chauta_et_al_2022_Bejaria_resinosa,10.1038/s41598-022-23261-2,D_to_antagonism,consumer_identity,dominant_field_florivores,sticky_flowers_protective,generalist_grasshopper,no_detected_consumption_difference,"Floral stickiness is strongly protective against field florivores but does not reduce petal consumption by the tested generalist grasshopper, so consumer identity opens or closes the D channel.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_1_V1.csv,SSX004,Chauta_et_al_2022_Bejaria_resinosa,10.1038/s41598-022-23261-2,D_to_antagonism,consumer_identity,dominant_field_florivores,sticky_flowers_protective,snails,sticky_petals_preferred,"The same floral stickiness associated with reduced field florivory is preferred in a snail petal-consumption assay, demonstrating that defence state can reverse with consumer identity.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_1_V1.csv,SSX005,Chauta_et_al_2022_Bejaria_resinosa,10.1038/s41598-022-23261-2,D_to_antagonism,population_context,three_native_populations,protective_magnitude_varies_by_population,pooled_context,overall_sticky_flowers_lower_damage,"The protection magnitude of floral stickiness varies among populations; this is a context interaction within one biological cluster, not three independent replications.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_2_V1.csv,SSX006,Stephenson_1982_Catalpa_speciosa,10.1007/BF00987883,D_to_antagonism_and_D_to_pollination,consumer_function,potential_nectar_thieves,strong_deterrence_and_behavioral_impairment,legitimate_daytime_pollinators,no_detected_reduction_in_reward_consumption,"The same floral nectar iridoids deter potential thieves while remaining palatable to the tested legitimate pollinators, providing an independent chemical guarded-state replication.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_2_V1.csv,SSX007,Saabna_et_al_2025_Anemone_coronaria,10.1111/plb.13744,environmental_context,consumer_function,glaphyrid_beetles_as_pollinators,major_pollinator_role_on_red_flowers,glaphyrid_beetles_as_florivores,red_biased_petal_scratching,One consumer guild occupies both mutualistic and antagonistic functional roles in the same floral system. The study remains context-only because it does not estimate a focal A x D trait interaction.,not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_2_V1.csv,SSX008,Saabna_et_al_2025_Anemone_coronaria,10.1111/plb.13744,environmental_context,damage_intensity,simulated_petal_damage_0_percent,baseline_pollinator_visitation,simulated_petal_damage_up_to_30_percent,no_detected_change_in_pollinator_visitation,"Within the tested 0-30% range, petal damage did not suppress pollinator visits, so antagonist damage does not automatically open a pollinator-interference channel.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_3_V1.csv,SSX009,Wu_Gao_2024_Thunia_alba,10.1093/jpe/rtad036,D_to_antagonism_and_D_to_pollination,defence_state_and_consumer_function,intact_bract,same_Bombus_mainly_legitimate_pollination,removed_bract,same_Bombus_mainly_nectar_robbing,"The same Bombus visitor switches between legitimate pollination and nectar robbery depending on the floral bract state, while arrival frequency remains unchanged; D can route consumer function rather than merely deter visitors.",not_added_as_separate_route_N
sign_switch,EXPANSION_SIGN_SWITCH_BATCH_4_V1.csv,SSX010,Dudash_et_al_2020_Silene_stellata,10.1111/evo.13965,selection_context,consumer_lifecycle_stage_and_fitness_pathway,adult_Hadena_ectypa,pollinator_contribution_and_male_function,larval_Hadena_ectypa,seed_predation_cost_and_female_function,"The same Hadena taxon contributes mutualistic pollination as an adult and antagonistic seed predation through larvae/offspring, creating an ontogenetic functional-role reversal and sex-specific selection on the same floral display phenotype.",not_added_as_separate_route_N
context_program,EXPANSION_CONTEXT_PROGRAMS_V1.csv,CTX001,Iris_bulleyana,10.1111/plb.12581;10.1098/rsbl.2017.0271,antagonist_damage_route_and_floral_tissue,florivory can lower legitimate visitation and seed production; florivore-created holes can switch a Bombus visitor to nectar robbing; protecting nectar/nectaries redirects damage to tepals and lowers pollinator visitation,,,,,H context can alter pollinator behavior and reproductive limitation through coupled access/resource/tissue pathways,no
context_program,EXPANSION_CONTEXT_PROGRAMS_V1.csv,CTX002,Oenothera_section_Calylophus,10.1093/aobpla/plw088,pollination_syndrome_and_flower_morphology,hawkmoth-pollinated long-tubed/narrower flowers experience more Mompha florivory than bee-pollinated syndrome; floral-tube and flare dimensions predict antagonist exposure,,,,,trait-class and pollination-syndrome morphology can alter antagonist exposure,no
context_program,EXPANSION_CONTEXT_PROGRAMS_V1.csv,CTX003,Acacia_Vachellia_ant_repellence_program,10.1007/s00442-006-0359-6;10.1111/j.1365-2435.2009.01632.x;Nature_388_165_167;Ecology_83_3086_3096,reproductive_stage_and_ant_guard_conflict,young/dehiscing flowers transiently repel resident ants during the pollinator-critical window; repellence weakens after pollen removal and ant access returns,,,,,floral antagonist-reducing functions can be temporally gated to a pollinator-critical stage,no
context_program,EXPANSION_CONTEXT_PROGRAMS_V1.csv,CTX004,Anemone_coronaria,10.1111/plb.13744,consumer_function_and_damage_response,glaphyrid beetles are major pollinators of red flowers and also produce red-biased petal scratches; 0-30% simulated petal damage did not reduce 343 putative pollinator visits (P=0.461),,,,,"the same consumer guild can occupy mutualist and antagonist roles, and antagonist damage need not automatically suppress subsequent pollinator visitation",no
context_program,EXPANSION_CONTEXT_PROGRAMS_V1.csv,CTX005,Codonopsis_Fritillaria_slippery_perianths,10.1093/aob/mcaa168,antagonist_access_and_downstream_pollinator_handling,slippery wax-covered perianths block nectar-thieving ants in two species; experimentally placing ants inside Codonopsis flowers shortens hornet pollinator visits from about 10.1-10.2 s controls to 6.6 s while visitation frequency and fruit/seed set differences remain unresolved,,,,,an antagonist-reducing floral surface can protect a pollinator-handling pathway indirectly by excluding ants; body size/access geometry filters antagonists and legitimate visitors differently,no
context_program,EXPANSION_CONTEXT_PROGRAMS_V1.csv,CTX006,Aquilegia_Iberian_columbines,10.1007/s00442-012-2553-z,reproductive_module_defence_and_population_context,"removing glandular trichomes from reproductive inflorescences increases access by small herbivores, increases flower/fruit damage and reduces healthy fruit set; defence magnitude varies among taxa/populations and tracks local herbivore pressure",,,,,sticky reproductive-module defence can reduce herbivory and its efficacy can covary with population-level antagonist pressure,no
context_program,EXPANSION_CONTEXT_PROGRAMS_V1.csv,CTX007,Silene_stellata,10.1111/evo.13965,lifecycle_stage_and_sex_specific_consumer_function,"adult Hadena ectypa contributes nocturnal pollination while larvae are seed predators; selection on petal dimensions differs through male versus female reproductive function, linking mutualistic adult service to antagonistic offspring cost",,,,,one consumer taxon can reverse ecological role across its lifecycle and impose sex-specific/conflicting selection on the same floral display phenotype,no
