source_file,batch_id,source,doi_or_locator,plant_system,target_or_pattern_axis,decision,new_admissible_pattern_class,reason,next_action
PRIORITY_RESCREEN_BATCH_3_V1.csv,B3,Stephenson_1982_Catalpa_speciosa,10.1007/BF00987883,Catalpa speciosa,floral_nectar_defence_x_consumer_role,PROMOTE_SOURCE_LEDGER,not_explicit,same nectar iridoids strongly deter potential thieves while legitimate bumblebee/carpenter-bee consumption is unresolved from controls; clean chemical guarded state,added MPX009-MPX010 and SSX006
PRIORITY_RESCREEN_BATCH_3_V1.csv,B3,Tie_et_al_2023_Caryopteris_divaricata,10.1016/j.pld.2022.11.002,Caryopteris divaricata,intraspecific_corolla_morphology_x_robber_pollinator_partition,HOLD_CONTEXT_REPLICATION,not_explicit,"shorter-tubed individuals have lower robbing and higher legitimate visitation/seed production; robber exclusion removes trait-associated pollination/seed differences, but corolla length is not an independently established antagonist-reducing D and multiple reward traits covary",retain as H/trait-variation context; do not promote to D route without a stronger focal-trait manipulation
PRIORITY_RESCREEN_BATCH_3_V1.csv,B3,Leonard_et_al_2013_nectar_guides,10.1371/journal.pone.0055914,artificial_flower_Bombus_impatiens,nectar_guide_x_legitimate_vs_robbing_behavior,HOLD_ARTIFICIAL_SYSTEM,not_explicit,"symmetric nectar guides shift Bombus handling from robbing toward legitimate visits, but the experiment uses artificial flowers and one opportunistic consumer rather than an independent biological plant system",use only as conceptual support if needed; exclude from biological route-cluster N
PRIORITY_RESCREEN_BATCH_3_V1.csv,B3,Barlow_et_al_2017_Aconitum,10.1016/j.cub.2017.08.015,Aconitum spp.,nectar_alkaloid_x_robber_pollinator_threshold,ALREADY_CANONICAL,not_explicit,high-information chemical D-to-antagonism and D-to-pollination threshold system already represented in canonical Pattern architecture,no new N
PRIORITY_RESCREEN_BATCH_4_V1.csv,B4,McCarren_et_al_2021_Erica,10.1007/s10265-021-01299-z,Erica spp.,corolla_stickiness_x_nectar_robbing,PROMOTE_SOURCE_LEDGER,not_explicit,within-species experimentally added corolla stickiness reduces nectar robbing; independent surface-defence lineage; genus-wide pollination syndrome association retained only as context,added MPX011; one study cluster despite multiple species
PRIORITY_RESCREEN_BATCH_4_V1.csv,B4,Takeda_et_al_2021_slippery_perianths,10.1093/aob/mcaa168,Codonopsis_lanceolata_and_Fritillaria_koidzumiana,epicuticular_wax_slipperiness_x_ant_access,PROMOTE_SOURCE_LEDGER,not_explicit,field bridging bypasses slippery surfaces and increases ant entry in both species; same paper separately shows ants shorten Codonopsis hornet visit duration,"added MPX012-MPX013 as one independence cluster; downstream ant-to-pollinator link is CTX005, not D-to-pollination"
PRIORITY_RESCREEN_BATCH_4_V1.csv,B4,Tie_et_al_2023_Caryopteris_divaricata,10.1016/j.pld.2022.11.002,Caryopteris divaricata,corolla_length_x_robber_pollinator_partition,HOLD_REPEAT_CONTEXT,not_explicit,relevant but repeats trait-mediated robber/pollinator partition already represented by other systems and lacks a clean manipulated D axis,no route promotion in this batch
PRIORITY_RESCREEN_BATCH_4_V1.csv,B4,Jacaranda_caroba_robbery_damage,10.1371/journal.pone.0225252,Jacaranda caroba,robbery_marks_x_pollinator_response,HOLD_H_CONTEXT,not_explicit,robbery slits/nectar depletion do not reduce pollen deposition or visitation; useful antagonist-damage null but damage is H context rather than defence D,retain as possible later environmental null replication; no route N
PRIORITY_RESCREEN_BATCH_5_V1.csv,B5,Tagawa_2018_Menyanthes_trifoliata,10.1016/j.aspen.2018.09.006,Menyanthes trifoliata,petal_hairs_x_nectar_thieving_ants,PROMOTE_SOURCE_LEDGER,not_explicit,direct trimming of petal hairs increases ant floral-tube entry success and reduces entry time; clean flower-specific physical D distinct from slippery/sticky/water barriers,added MPX014
PRIORITY_RESCREEN_BATCH_5_V1.csv,B5,Jaime_et_al_2013_Aquilegia,10.1007/s00442-012-2553-z,Aquilegia vulgaris_and_pyrenaica,inflorescence_glandular_trichomes_x_herbivory,PROMOTE_CONTEXT_ONLY,not_explicit,manipulative evidence is strong but central glandular trichomes extend over inflorescence stalk/pedicels; promoting to route ledger would silently broaden flower-specific D,added CTX006; retain eight populations/four subspecies as one context program
PRIORITY_RESCREEN_BATCH_5_V1.csv,B5,LoPresti_et_al_2015_Aquilegia_eximia,10.1890/15-0342.1,Aquilegia eximia,sticky_carrion_provisioning_indirect_defence,HOLD_REPRODUCTIVE_MODULE_CONTEXT,not_explicit,glandular trichomes/carrion recruit predators and reduce reproductive-structure damage but the defensive surface is whole sticky plant/inflorescence rather than a declared flower-specific D,do not route-count; revisit only if paper scope deliberately broadens beyond floral D
PRIORITY_RESCREEN_BATCH_5_V1.csv,B5,Aquilegia_coerulea_homeotic_mutant,Current_Biology_2022,Aquilegia coerulea,nectarless_homeotic_morph_x_nonpollinator_selection,HOLD_COMPOSITE_TRAIT_CONTEXT,not_explicit,"homeotic floral mutant loses nectar reward and has different herbivory, but floral morphology/reward architecture changes jointly; not a clean declared A or D axis",retain only as broader trait-complex selection context if needed
PRIORITY_RESCREEN_BATCH_6_V1.csv,B6,Wu_Gao_2024_Thunia_alba,10.1093/jpe/rtad036,Thunia alba,bract_defence_x_pollinator_functional_mode,PROMOTE_SOURCE_LEDGER_AND_SWITCH,not_explicit,direct bract removal shifts the same Bombus visitor from mostly legitimate pollination to mostly nectar robbery while hourly visit frequency is unchanged; pollinia removal/deposition and fruit set fall strongly,added MPX015-MPX016 and SSX009; defines pollinator_functional_mode_routing Pattern
PRIORITY_RESCREEN_BATCH_6_V1.csv,B6,Carlson_Harms_2007_Chrysothemis,10.1098/rsbl.2007.0095,Chrysothemis friedrichsthaliana,water_calyx_x_preanthesis_floral_herbivory,PROMOTE_SOURCE_LEDGER,not_explicit,direct draining/refilling experiment shows an independent liquid floral barrier more than halves risk of larval infestation/sterility; evolutionary origin independent of Pedicularis water bracts,added MPX017
PRIORITY_RESCREEN_BATCH_6_V1.csv,B6,Hosta_heavy_metal_nectar_2024,Frontiers_Ecology_and_Evolution_2024,Hosta ensata_and_Hosta rectifolia,nectar_metal_chemistry_x_robber_pollinator_filtering,HOLD_ENVIRONMENTAL_CHEMISTRY_CONTEXT,not_explicit,"high Zn/Fe artificial nectar reduces robbery by ants/wasps and some metal treatments alter pollinator visitation/diversity, but metal accumulation is environmental/pollution chemistry rather than an established evolved flower-specific defence D",retain as possible nectar-chemistry environmental filter; no route N
PRIORITY_RESCREEN_BATCH_6_V1.csv,B6,Aloe_vryheidensis_phenolic_nectar,Oecologia_Aloe_vryheidensis,Aloe vryheidensis,nectar_phenolics_x_specialist_generalist_bird_filtering,HOLD_CONSUMER_FILTER_CONTEXT,not_explicit,generalist birds prefer sucrose over Aloe nectar whereas specialist/opportunistic bird groups show weaker/no preference; biologically useful consumer filter but unwanted nectarivores are not uniformly antagonists and D function is not directly established,retain as consumer-dependency context only; no route N
PRIORITY_RESCREEN_BATCH_7_V1.csv,B7,Page_et_al_2014_Silene_signals,10.1371/journal.pone.0098755,Silene_latifolia_x_S_dioica_F2,floral_color_scent_x_Hadena_seed_predation,PROMOTE_SOURCE_LEDGER,not_explicit,"recombinant F2 design separates color and scent predictors of primary seed predation by a seed-eating pollinator; compound directions differ, adding an independent A-to-antagonism signal system",added MPX018; do not create same-study A-to-pollination from moth natural history
PRIORITY_RESCREEN_BATCH_7_V1.csv,B7,Dudash_et_al_2020_Silene_stellata,10.1111/evo.13965,Silene stellata,lifecycle_stage_functional_role_reversal,PROMOTE_NEW_CONTEXT_CLASS,true,"adult Hadena ectypa contributes pollination while larval offspring are seed predators; petal dimensions experience sex/fitness-pathway-specific selection, adding an ontogenetic consumer-role reversal beyond adult behavioral switches",added CTX007 and SSX010; no route N
PRIORITY_RESCREEN_BATCH_7_V1.csv,B7,Li_et_al_2005_Cypripedium_flavum,10.1093/aob/mci102,Cypripedium flavum,reinforcing_pollinator_seed_predator_selection_on_reproductive_architecture,HOLD_CONTEXT_NOT_FOCAL_A,not_explicit,"taller stems increase pollinium removal/deposition and reduce predispersal seed predation, so mutualist and antagonist effects reinforce the same reproductive phenotype; stem height is not a clean declared floral attraction A under the current contract",retain as possible reinforcing-selection discussion example; do not broaden A just to add a class
PRIORITY_RESCREEN_BATCH_7_V1.csv,B7,Rivea_ornata_2024,10.1007/s00442-024-05641-x,Rivea ornata,spatial_allocation_of_reproductive_defence_and_pollinator_ant_conflict,HOLD_REPEAT_SPATIAL_CONTEXT,not_explicit,defensive capacity and reproductive structures vary spatially and ants are absent from the apical reproductive region; informative but maps onto existing spatial filtering/resource-allocation context rather than a new Pattern class,no route N; no stopping reset from this repeat
PRIORITY_RESCREEN_BATCH_8_V1.csv,B8,Jacaranda_caroba_robbery,10.1371/journal.pone.0225252,Jacaranda caroba,nectar_robbery_damage_x_pollinator_response,HOLD_H_CONTEXT,false,"robbery marks and nectar depletion provide an antagonist-damage/pollination null-or-weak context, but damage is H context rather than floral D and maps onto the existing pollinator-suppression/null class",
PRIORITY_RESCREEN_BATCH_8_V1.csv,B8,Tie_et_al_2023_Caryopteris_divaricata,10.1016/j.pld.2022.11.002,Caryopteris divaricata,corolla_morphology_x_robber_pollinator_partition,HOLD_REPEAT_CONTEXT,false,"shorter tubes reduce robbing and alter legitimate visits/seed outcomes, but corolla length is not an independently justified antagonist-reducing D; repeats trait-mediated robber/pollinator partition already represented by Iris and Thunia",
PRIORITY_RESCREEN_BATCH_8_V1.csv,B8,Abronia_fragrans_2026,10.1002/ajb2.70142,Abronia fragrans,flower_color_x_site_florivory,HOLD_SITE_CONTEXT,false,site explains substantially more florivory than pigment/color and color is not a clean new shared-route dataset here; maps onto existing population/site context,
PRIORITY_RESCREEN_BATCH_8_V1.csv,B8,Li_et_al_2005_Cypripedium_flavum,10.1093/aob/mci102,Cypripedium flavum,reinforcing_pollinator_seed_predator_selection,HOLD_NOT_FOCAL_A,false,"pollinators and seed predators can reinforce selection on reproductive architecture, but stem height is not a clean declared floral attraction A under the active focal-trait contract; admitting it would broaden A rather than reveal a new eligible Pattern class",
PRIORITY_RESCREEN_BATCH_9_V1.csv,B9,Rhododendron_ponticum_grayanotoxin_pollinator_filter,10.1002/ps.4434,Rhododendron ponticum,nectar_grayanotoxin_x_pollinator_guild,HOLD_EXISTING_CONSUMER_FILTER,false,"grayanotoxin responses differ among bee taxa and can modify susceptibility/behaviour, but this maps onto the already-supported consumer-role/pollinator-guild filtering class; the study does not establish a new antagonist-reducing floral D x pollination mechanism",
PRIORITY_RESCREEN_BATCH_9_V1.csv,B9,Toxicoscordion_venenosum_toxic_nectar,primary_source_family_toxic_zygacine_nectar,Toxicoscordion venenosum,toxic_nectar_x_pollinator_tolerance,HOLD_SOURCE_AND_ROLE_BOUNDARY,false,toxic nectar and pollinator tolerance fit the existing consumer-filter/compound-identity classes; current screening did not resolve an independent antagonist-reducing D function that would justify a new route or Pattern class,
PRIORITY_RESCREEN_BATCH_9_V1.csv,B9,non_Acacia_ant_plant_flower_conflict,primary_ant_plant_flower_pollinator_literature,ant_plants_non_Acacia,resident_ant_defence_x_flower_access,HOLD_EXISTING_SPATIOTEMPORAL_CLASS,false,flower-level separation or temporary exclusion of resident defensive ants repeats the existing Acacia/Vachellia spatial-temporal filtering and guarded-window class; no distinct mechanism class was identified under the flower-specific D contract,
PRIORITY_RESCREEN_BATCH_9_V1.csv,B9,nectar_secondary_metabolite_pollinator_filter_beyond_current_modules,primary_nectar_chemistry_literature,multiple_flowering_plants,secondary_metabolite_x_consumer_taxon,HOLD_EXISTING_CHEMICAL_CONTEXT,false,"additional nectar-chemistry studies reproduce compound identity, dose, and consumer-guild dependence already represented by Aconitum/Catalpa/Gelsemium/Nicotiana/Sasidharan/Junker; no new theory-facing Pattern axis emerged",
