audit_family,audit_id,study_id,doi,plant_taxon,A_axis,D_axis,candidate_measure,status_or_result,decision,reason,next_action
direct_AxD,AXD011,Knauer_Schiestl_2017_Brassica,10.1007/s10682-016-9878-8,Brassica rapa,corolla size; phenylacetaldehyde and other floral signals,none_measured_as_focal_defence_trait,visitation; oviposition; fruit-set selection,correlational_selection_among_A_traits_and_nonadditive_mutualist_antagonist_selection_but_no_AxD_axis,Not_Tier1,"The study is highly informative for attraction tracking: corolla size and phenylacetaldehyde attract both pollinators and Pieris oviposition, and combined insects generate nonadditive selection. But there is no separately measured/manipulated defence trait D; an antagonist treatment is not a D phenotype.",retain_as_Tier2_A_multiroute_candidate
direct_AxD,AXD012,Strauss_Siemens_Decher_MitchellOlds_1999_Brassica,10.1111/j.1558-5646.1999.tb04525.x,Brassica rapa,petal size; floral display; pollinator-use traits,high versus low myrosinase artificial-selection lines with documented flea-beetle resistance,pollinator visitation; flowers visited; time per flower,resistance_x_damage_changes_floral_traits_and_pollinator_use_but_no_flower_A_trait_x_D_trait_term_verified,Not_Tier1_strict_flower_D,"Artificial selection produced high- and low-myrosinase lines with corresponding flea-beetle resistance, and high resistance plus herbivore damage altered floral traits and pollinator foraging. This is strong ecological-cost evidence linking defence architecture to pollination, but the resistance treatment is a whole-plant selection regime rather than an independently established flower-specific D phenotype, and the accessible source does not identify an attraction-trait x defence-trait fitness interaction.",retain_as_cross_organ_ecological_cost_background_and_joint_cost_search_context
direct_AxD,AXD013,Hanley_Lamont_Armbruster_2009_Hakea,10.1111/j.1469-8137.2008.02709.x,Hakea_spp_51_species,inflorescence colour and pollination syndrome morphology,floral cyanide plus physical foliage/spine protection,comparative trait covariation across bird- and insect-pollinated species,comparative_A_D_covariation_without_within_system_AxD_outcome,Not_Tier1,"Across 51 Hakea species, bird/insect pollination covaries with floral colour and physical/chemical defence architecture, including floral cyanide. This is a valuable macroevolutionary A-D covariance pattern but does not estimate an A x D interaction on pollination, antagonism or reproduction within linked biological units.",retain_as_comparative_joint_trait_architecture_case
direct_AxD,AXD014,Kessler_Diezel_Clark_Colquhoun_Baldwin_2013_Petunia,10.1111/ele.12038,Petunia_x_hybrida,pollinator-attractive components of the floral volatile bouquet,distinct defensive floral-scent compounds reducing generalist florivory,florivore damage across transgenic scent-silencing lines,different_bouquet_components_partition_attractive_and_defensive_functions_but_no_AxD_interaction_term,Not_Tier1,"Five transgenic Petunia lines silencing particular floral volatile components show that some bouquet compounds contribute to host location whereas others reduce florivore damage. The system demonstrates component-level division of labour inside one floral blend, but it does not estimate the interaction between a declared attraction axis and a distinct defence axis on a common outcome.",retain_as_same_bouquet_component_partitioning_mechanism_case
direct_joint_cost,JC001,Theis_et_al_2014_Cucurbitaceae,10.3732/ajb.1400171,Cucurbitaceae,floral attractive/reward traits: corolla length; pollen; nectar; volatile classes,leaf and floral cucurbitacins,Pearson correlations between defensive and attractive/reward traits as an explicit allocation-tradeoff test,No correlations between leaf or floral cucurbitacins and any floral attractive/reward trait; |r|<0.25 and P>0.05 for all,Not_direct_joint_cost,"The authors explicitly test an allocation-tradeoff prediction, but trait covariance is not a measurement of construction/allocation cost. A null covariance cannot be interpreted as kappa=0.",retain_as_source_verified_negative_simple_tradeoff_evidence
direct_joint_cost,JC002,Thosteman_et_al_2024_Arabis_alpina,10.1111/nph.20006,Arabis alpina,floral_scent_volatiles,foliar volatiles and foliar glucosinolates,phenotypic integration/correlation across compound groups,Between-group integration was low; authors conclude no evidence that integration between attractive and defensive compound groups strongly constrains diversification,Not_direct_joint_cost,"The study tests evolutionary integration rather than resource expenditure. The D axes are foliar rather than flower-specific, and low integration means evolutionary independence, not absence of a direct joint construction cost.",retain_as_cross_organ_negative_integration_context
direct_joint_cost,JC003,Strauss_Irwin_Lambrix_2004_Raphanus,10.1111/j.1365-2745.2004.00843.x,Raphanus sativus,petal_colour_polymorphism,petal and leaf glucosinolate chemistry,association of colour morph and constitutive/induced secondary chemistry; possible pleiotropy or tight linkage discussed,"Petal colour morph is associated with aspects of inducibility/secondary chemistry architecture, but no direct resource or construction-cost variable and no A x D allocation term is measured",Not_direct_joint_cost,Genetic linkage or pleiotropy can generate trait covariance without an energetic allocation cost. This study therefore cannot identify kappa.,retain_as_joint_trait_architecture_not_cost
direct_joint_cost,JC004,Strauss_Siemens_Decher_MitchellOlds_1999_Brassica,10.1111/j.1558-5646.1999.tb04525.x,Brassica rapa,petal size; floral display; pollinator reward/use proxies,artificially selected high versus low myrosinase herbivore resistance,ecological cost of resistance expressed through altered floral traits and pollinator foraging,High-resistance plants developed smaller petals later in life; floral display also depended on resistance x damage; pollinators spent more time per flower on low-resistance plants while total pollinator attraction did not differ,Not_direct_joint_cost,"The paper deliberately studies an ecological cost of resistance in the currency of pollination. That maps to defence effects on mutualist use / floral phenotype, not to a measured resource term depending jointly on an attraction trait and flower-specific D. Labeling every 'cost of resistance' as kappa would confound iota-like ecological interference with direct allocation/construction cost.",retain_as_D_to_pollination_ecological_cost_context_not_kappa
direct_joint_cost,JC005,Ramos_Schiestl_2019_Brassica,10.1126/science.aav6962,Brassica rapa,floral fragrance and pollinator-attractive floral phenotype,herbivory-associated glucosinolate defence architecture,experimental evolution under bee versus hand pollination crossed with herbivory; reduced evolution of attractive floral signals under herbivory interpreted as likely physiological trade-off/resource reallocation,"Herbivory compromised evolution of attractive flowers and altered defence traits, but the physiological link between defence compounds, floral signals and rewards was explicitly left for further investigation",Not_direct_joint_cost,"The design manipulates selection agents, not a fixed A+D resource budget. Resource reallocation is a plausible explanation among physiological mechanisms, not a directly measured joint construction cost.",retain_as_agent_induced_evolutionary_tradeoff_inference
direct_joint_cost,JC006,Schiestl_2014_Brassica,10.1111/nph.12783,Brassica rapa,floral VOCs and morphology affecting pollinator attraction,herbivore-induced defence chemistry and signalling,herbivory changes floral signals and pollinator/parasitoid attraction; resource allocation or physiological cross-talk discussed as possible mechanisms,"Herbivory alters floral phenotype and insect attraction, but the source does not directly measure the resource/energetic price of jointly producing attraction and flower-specific defence",Not_direct_joint_cost,"An induced decline in floral signalling can arise through allocation, hormonal cross-talk, damage, phenology or adaptive plasticity. Without direct resource accounting it cannot identify kappa.",retain_as_induced_tradeoff_mechanism_context
direct_joint_cost,JC007,Stowe_Marquis_2010_Brassica,10.1007/s10682-010-9443-9,Brassica rapa,reproductive output and correlated floral traits,foliar glucosinolate content selected high versus low,fitness/correlated responses used to test costs of defence,"A marginal cost of foliar defence can be tested through divergent glucosinolate selection, but no distinct floral A axis is jointly budgeted with a flower-specific D axis",Not_direct_joint_cost,A demonstrated D cost is not the A+D interaction cost. The defence is also foliar rather than flower-specific under the active protocol.,retain_as_marginal_D_cost_negative_control
direct_joint_cost,JC008,Manson_Cook_Gardner_Irwin_2013_Delphinium,10.1111/1365-2745.12144,Delphinium barbeyi,nectar sugar/reward and pollinator visitation,nectar norditerpene alkaloids,dose-dependent ecological costs of nectar alkaloids; allocation/transport costs discussed as possible explanations for low nectar concentrations,"Low nectar-alkaloid concentrations can have little ecological pollinator cost, while the paper discusses rather than measures allocation costs to nectar secondary metabolites",Not_direct_joint_cost,"The study identifies a flower-specific D axis and ecological effects, but it does not measure plant expenditure on D or an additional cost of producing D together with a separate attraction trait.",retain_as_single_D_allocation_hypothesis_not_kappa
direct_joint_cost,JC009,Liu_et_al_2007_Phenolic_nectar,10.1111/j.1365-2435.2006.01200.x,experimental_nectar_system,nectar sugar reward concentration,defensive plant phenolics added to nectar,bee feeding assays suggest phenolic-rich nectar could maintain attraction at lower sugar reward and therefore reduce plant expenditure,"Phenolics interact nonlinearly with sugar and authors propose a lower-cost pollinator reward strategy, but actual plant resource expenditure is not measured",Not_direct_joint_cost,"This is a functional-substitution/energy-saving hypothesis derived from pollinator behaviour. It does not directly quantify plant savings, and A and D are not independently manipulated as production investments in a plant.",retain_as_functional_substitution_cost_hypothesis
direct_joint_cost,JC010,Armbruster_et_al_2012_Dalechampia,10.1093/aob/mcs091,Dalechampia scandens,floral resin reward amount/display to resin-collecting pollinators,ancestral defensive function of resin/exaptation context,direct experimental test of resin reward production cost through reduced seed production when pollinators cannot harvest resin,"Resin reward production imposes a measurable reproductive cost, but reward and defence are functions of the same material rather than two distinct A and D investments",Not_direct_joint_cost,"This is strong direct evidence that an attractive/reward trait can be costly and an important evolutionary exaptation case. It identifies an A marginal cost, not curvature from simultaneous investment in distinct A and D axes.",retain_as_direct_A_cost_and_same_material_exaptation_negative_control
direct_joint_cost,JC011,Gleadow_et_al_2020_Lomatia,10.1093/aob/mcaa038,Lomatia_spp,pollen/pollen-presenter structures with reproductive function,highly localized floral cyanogenic glycosides,fine-scale allocation of defensive chemistry among high-value floral tissues,"Very high cyanogenic-glycoside concentrations are localized to pollen/anthers and pollen-presenter tissues, demonstrating targeted flower-specific defence allocation but not its energetic cost or covariance with an attraction investment",Not_direct_joint_cost,Optimal placement of D within flowers is not joint A+D resource accounting. No distinct attraction trait or construction-cost interaction is measured.,retain_as_within_flower_D_allocation_negative_control
direct_joint_cost,JC012,Li_et_al_2017_Nicotiana,10.1073/pnas.1703463114,Nicotiana attenuata,floral advertisement chemistry exists in the system but is not jointly costed in this experiment,flower-specific jasmonate-regulated TPI bergamotene and defensin defences,molecular dissection of flower-specific defence regulation and tissue allocation,"A flower-specific JA sector controls multiple constitutive floral defences, establishing that D can be regulated independently at the organ level; no A+D energy/resource interaction is measured",Not_direct_joint_cost,"Mechanistic regulation of flower defence answers where/how D is produced, not what additional resource cost arises from simultaneously producing attraction and D.",retain_as_flower_specific_D_regulation_negative_control
direct_joint_cost,JC013,Gray_et_al_2024_Cucurbita,10.1093/aob/mcae118,Cucurbita pepo,male flower production; pollen; nectar; floral VOC pollinator cues,defence is induced by simulated foliar damage rather than a measured flower-specific D phenotype,mechanical damage reduces reproductive/floral investment and is interpreted through possible resource reallocation to defence,"Early-season damage changes flower production and pollinator-relevant floral traits, but resource reallocation toward defence is a mechanistic hypothesis and no flower-specific D expenditure is directly measured",Not_direct_joint_cost,Agent-induced reduction in A or reproduction is not an A+D joint construction-cost measurement. This source maps to the already adjudicated induced-reallocation class.,retain_as_agent_induced_reallocation_negative_control
