case_id,attraction,defence,assurance,pollinator_service,floral_damage_pressure,modal_sign,non_neutral_evaluation_count,total_evaluation_count,modal_sign_agreement,full_tested_set_class,functional_form_unanimous_scenario_count,parameter_scenario_count
case_0033,0.2,0.5,0.5,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0034,0.2,0.5,0.5,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0035,0.2,0.5,0.5,0.8,0.5,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0036,0.2,0.5,0.5,0.8,0.8,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0037,0.2,0.8,0.0,0.2,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0038,0.2,0.8,0.0,0.2,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0039,0.2,0.8,0.0,0.2,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0040,0.2,0.8,0.0,0.5,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0041,0.2,0.8,0.0,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0042,0.2,0.8,0.0,0.5,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0043,0.2,0.8,0.0,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0044,0.2,0.8,0.0,0.8,0.5,substitutable,16,16,0.6875,mixed_or_sensitive,3,4
case_0045,0.2,0.8,0.0,0.8,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0046,0.2,0.8,0.5,0.2,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0047,0.2,0.8,0.5,0.2,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0048,0.2,0.8,0.5,0.2,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0049,0.2,0.8,0.5,0.5,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0050,0.2,0.8,0.5,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0051,0.2,0.8,0.5,0.5,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0052,0.2,0.8,0.5,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0053,0.2,0.8,0.5,0.8,0.5,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0054,0.2,0.8,0.5,0.8,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0055,0.5,0.2,0.0,0.2,0.2,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0056,0.5,0.2,0.0,0.2,0.5,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0057,0.5,0.2,0.0,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0058,0.5,0.2,0.0,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0059,0.5,0.2,0.0,0.5,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0060,0.5,0.2,0.0,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0061,0.5,0.2,0.0,0.8,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0062,0.5,0.2,0.0,0.8,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0063,0.5,0.2,0.0,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0064,0.5,0.2,0.5,0.2,0.2,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0065,0.5,0.2,0.5,0.2,0.5,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0066,0.5,0.2,0.5,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0067,0.5,0.2,0.5,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0068,0.5,0.2,0.5,0.5,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0069,0.5,0.2,0.5,0.5,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0070,0.5,0.2,0.5,0.8,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0071,0.5,0.2,0.5,0.8,0.5,complementary,16,16,0.5625,mixed_or_sensitive,2,4
case_0072,0.5,0.2,0.5,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0073,0.5,0.5,0.0,0.2,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0074,0.5,0.5,0.0,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0075,0.5,0.5,0.0,0.2,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0076,0.5,0.5,0.0,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0077,0.5,0.5,0.0,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0078,0.5,0.5,0.0,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0079,0.5,0.5,0.0,0.8,0.2,substitutable,16,16,0.8125,mixed_or_sensitive,3,4
case_0080,0.5,0.5,0.0,0.8,0.5,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0081,0.5,0.5,0.0,0.8,0.8,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0082,0.5,0.5,0.5,0.2,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0083,0.5,0.5,0.5,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0084,0.5,0.5,0.5,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0085,0.5,0.5,0.5,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0086,0.5,0.5,0.5,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0087,0.5,0.5,0.5,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0088,0.5,0.5,0.5,0.8,0.2,substitutable,16,16,0.8125,mixed_or_sensitive,3,4
case_0089,0.5,0.5,0.5,0.8,0.5,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0090,0.5,0.5,0.5,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0091,0.5,0.8,0.0,0.2,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0092,0.5,0.8,0.0,0.2,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0093,0.5,0.8,0.0,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0094,0.5,0.8,0.0,0.5,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0095,0.5,0.8,0.0,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0096,0.5,0.8,0.0,0.5,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0097,0.5,0.8,0.0,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0098,0.5,0.8,0.0,0.8,0.5,substitutable,16,16,0.5625,mixed_or_sensitive,2,4
case_0099,0.5,0.8,0.0,0.8,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0100,0.5,0.8,0.5,0.2,0.2,substitutable,16,16,0.6875,mixed_or_sensitive,3,4
case_0101,0.5,0.8,0.5,0.2,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0102,0.5,0.8,0.5,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0103,0.5,0.8,0.5,0.5,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0104,0.5,0.8,0.5,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0105,0.5,0.8,0.5,0.5,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0106,0.5,0.8,0.5,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0107,0.5,0.8,0.5,0.8,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0108,0.5,0.8,0.5,0.8,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0109,0.8,0.2,0.0,0.2,0.2,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0110,0.8,0.2,0.0,0.2,0.5,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0111,0.8,0.2,0.0,0.2,0.8,complementary,16,16,0.9375,mixed_or_sensitive,3,4
case_0112,0.8,0.2,0.0,0.5,0.2,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0113,0.8,0.2,0.0,0.5,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0114,0.8,0.2,0.0,0.5,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0115,0.8,0.2,0.0,0.8,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0116,0.8,0.2,0.0,0.8,0.5,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0117,0.8,0.2,0.0,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0118,0.8,0.2,0.5,0.2,0.2,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0119,0.8,0.2,0.5,0.2,0.5,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0120,0.8,0.2,0.5,0.2,0.8,complementary,16,16,0.9375,mixed_or_sensitive,3,4
case_0121,0.8,0.2,0.5,0.5,0.2,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0122,0.8,0.2,0.5,0.5,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0123,0.8,0.2,0.5,0.5,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0124,0.8,0.2,0.5,0.8,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0125,0.8,0.2,0.5,0.8,0.5,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0126,0.8,0.2,0.5,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0127,0.8,0.5,0.0,0.2,0.2,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0128,0.8,0.5,0.0,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0129,0.8,0.5,0.0,0.2,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0130,0.8,0.5,0.0,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0131,0.8,0.5,0.0,0.5,0.5,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0132,0.8,0.5,0.0,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0133,0.8,0.5,0.0,0.8,0.2,substitutable,16,16,0.8125,mixed_or_sensitive,3,4
case_0134,0.8,0.5,0.0,0.8,0.5,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0135,0.8,0.5,0.0,0.8,0.8,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0136,0.8,0.5,0.5,0.2,0.2,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0137,0.8,0.5,0.5,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0138,0.8,0.5,0.5,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0139,0.8,0.5,0.5,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0140,0.8,0.5,0.5,0.5,0.5,complementary,16,16,0.625,mixed_or_sensitive,2,4
case_0141,0.8,0.5,0.5,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0142,0.8,0.5,0.5,0.8,0.2,substitutable,16,16,0.8125,mixed_or_sensitive,3,4
case_0143,0.8,0.5,0.5,0.8,0.5,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0144,0.8,0.5,0.5,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0145,0.8,0.8,0.0,0.2,0.2,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0146,0.8,0.8,0.0,0.2,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0147,0.8,0.8,0.0,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0148,0.8,0.8,0.0,0.5,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0149,0.8,0.8,0.0,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0150,0.8,0.8,0.0,0.5,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0151,0.8,0.8,0.0,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0152,0.8,0.8,0.0,0.8,0.5,substitutable,16,16,0.5625,mixed_or_sensitive,2,4
case_0153,0.8,0.8,0.0,0.8,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0154,0.8,0.8,0.5,0.2,0.2,substitutable,16,16,0.625,mixed_or_sensitive,2,4
case_0155,0.8,0.8,0.5,0.2,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0156,0.8,0.8,0.5,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0157,0.8,0.8,0.5,0.5,0.2,substitutable,16,16,0.8125,mixed_or_sensitive,3,4
case_0158,0.8,0.8,0.5,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0159,0.8,0.8,0.5,0.5,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0160,0.8,0.8,0.5,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0161,0.8,0.8,0.5,0.8,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0162,0.8,0.8,0.5,0.8,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
