candidate_id,doi,title,discovery_route_families,source_screen_status,source_access_status,study_type,taxon,primary_study_id,study_cluster_id,screen_exclusion_reason,coder_id,coding_date,coding_note
doi:10.1111/plb.70031,10.1111/plb.70031,Nectar or perfume as reward? Investigating the pollination and chemical ecology of the bromeliad Cryptanthus bahianus,A_to_pollination,included_for_source_coding,abstract_only,observational,Cryptanthus bahianus,Cryptanthus_bahianus_plb70031,Cryptanthus_bahianus_plb70031_panel,,assistant_abstract_screen,2026-07-01,"Describes cues, rewards, and visitors but no direct trait-response comparison in the abstract."
doi:10.1111/plb.70209,10.1111/plb.70209,Resilience of floral scent emission after florivory,A_to_antagonism;A_to_pollination;B_to_antagonism,included_for_source_coding,abstract_only,manipulation,multiple neotropical species,multiple_species_plb70209,multiple_species_plb70209_panel,,assistant_abstract_screen,2026-07-01,"Natural/experimental florivory effect on scent emission: H-to-A, not a direct A/B-to-P/H route."
doi:10.14295/cs.v15.3504,10.14295/cs.v15.3504,"Floral, reproductive, and pollination biology of Floral, reproductive, and pollination biology of Eugenia myrcianthes Nied.",A_to_pollination;B_to_pollination;joint_channels,excluded,abstract_only,observational,Eugenia myrcianthes,Eugenia_myrcianthes_cs_v15_3504,Eugenia_myrcianthes_cs_v15_3504_panel,descriptive_flower_biology_without_direct_trait_outcome_test,assistant_abstract_screen,2026-07-01,"Abstract describes flower biology and visitors, not a tested direct trait-to-outcome relation."
doi:10.26786/1920-7603(2023)740,10.26786/1920-7603(2023)740,Floral scent and pollination of the invasive plant Coreopsis lanceolata in Japan,A_to_pollination;B_to_pollination;joint_channels,excluded,abstract_only,observational,Coreopsis lanceolata,Coreopsis_lanceolata_2023_scent,Coreopsis_lanceolata_2023_scent_panel,descriptive_pollination_biology_without_direct_trait_outcome_test,assistant_abstract_screen,2026-07-01,"Abstract reports visitors, scent composition, and seed set but no direct trait-response test."
doi:10.1111/j.1469-8137.2010.03410.x,10.1111/j.1469-8137.2010.03410.x,Pollinators exert natural selection on flower size and floral display in Penstemon digitalis,A_to_antagonism,unassessed,abstract_only,,,,,,assistant_abstract_screen,2026-07-01,Crossref deposited text is only 'Featured paper: See Commentary'; full article/source needed before screening.
doi:10.1111/j.1600-0706.2010.18585.x,10.1111/j.1600-0706.2010.18585.x,Sexual differences in flower defense and correlated male-biased florivory in a plant-florivore system,B_to_antagonism,included_for_source_coding,abstract_only,comparative,Eurya japonica,Eurya_japonica_2010_defense,Eurya_japonica_2010_defense_panel,,assistant_abstract_screen,2026-07-01,Flower-bud phenolics/tannins differ by sex and are linked to moth oviposition and larval survival.
doi:10.1111/oik.09708,10.1111/oik.09708,"Range-wide floral trait variation reflects shifts in pollinator assemblages, consistent with pollinator-mediated divergence despite generalized visitation",A_to_pollination;B_to_pollination,included_for_source_coding,abstract_only,observational,"Castilleja purpurea complex; Castilleja sessiliflora",Castilleja_oik_09708,Castilleja_oik_09708_panel,,assistant_abstract_screen,2026-07-01,Range-wide floral-trait and visitor-assemblage study; direct associations are stated but trait-specific signs are heterogeneous.
doi:10.26786/1920-7603(2023)719,10.26786/1920-7603(2023)719,Genotype and environment effects on sunflower nectar and their relationships to crop pollination,A_to_pollination;joint_channels,included_for_source_coding,abstract_only,manipulation,Helianthus annuus,Helianthus_annuus_2023_nectar,Helianthus_annuus_2023_nectar_panel,,assistant_abstract_screen,2026-07-01,Nectar and prior pollinator-exclusion treatment jointly affect subsequent bee visits; treatment/trait separation requires full text.
doi:10.7717/peerj.6025,10.7717/peerj.6025,Flower visitation by hoverflies (Diptera: Syrphidae) in a temperate plant-pollinator network,B_to_pollination,included_for_source_coding,abstract_only,observational,multispecies grassland network,hoverfly_network_peerj6025,hoverfly_network_peerj6025_panel,,assistant_abstract_screen,2026-07-01,"Trait-based analyses relate flower height, inflorescence size, and colour to visitation; discovery B label is not accepted as barrier role."
doi:10.1002/j.1537-2197.1988.tb13514.x,10.1002/j.1537-2197.1988.tb13514.x,"POLLINATION QUALITY, SEED SET, AND FLOWER TRAITS IN POLEMONIUM VISCOSUM: COMPLEMENTARY EFFECTS OF VARIATION IN FLOWER SCENT AND SIZE",joint_channels,included_for_source_coding,abstract_only,observational,Polemonium viscosum,Polemonium_viscosum_1988_quality,Polemonium_viscosum_1988_quality_panel,,assistant_abstract_screen,2026-07-01,Flower scent/size are related to outcross pollen quality in context-dependent pollinator assemblages.
doi:10.1111/btp.13293,10.1111/btp.13293,Pollination of Chamaepantas nobilis (Rubiaceae) by long-proboscid hawkmoths in south-central Africa: Trait mismatching and floral scent chemistry,joint_channels,included_for_source_coding,abstract_only,observational,Chamaepantas nobilis,Chamaepantas_nobilis_btp13293,Chamaepantas_nobilis_btp13293_panel,,assistant_abstract_screen,2026-07-01,Observational pollination ecology; abstract describes advertising traits but not a trait-variation response comparison.
doi:10.3389/fpls.2020.611877,10.3389/fpls.2020.611877,"Flower Production, Headspace Volatiles, Pollen Nutrients, and Florivory in Tanacetum vulgare Chemotypes",B_to_antagonism,included_for_source_coding,abstract_only,comparative,Tanacetum vulgare,Tanacetum_vulgare_2020_chemotypes,Tanacetum_vulgare_2020_chemotypes_panel,,assistant_abstract_screen,2026-07-01,Chemotype and floral-metabolite differences relate to florivorous beetle abundance; barrier role of floral scent remains unresolved at abstract resolution.
doi:10.1111/j.1365-2435.2009.01620.x,10.1111/j.1365-2435.2009.01620.x,Integrating floral scent, pollination ecology and population genetics,B_to_pollination,excluded,abstract_only,review,multiple plant systems,,,review_or_framework_not_primary_empirical_study,assistant_abstract_screen,2026-07-01,"Framework/review abstract, not a primary empirical study."
doi:10.2307/1940540,10.2307/1940540,"Regulation of Seed-Set in Polemonium viscosum: Floral Scents, Pollination, and Resources",B_to_pollination,included_for_source_coding,abstract_only,comparative,Polemonium viscosum,Polemonium_viscosum_1988_resources,Polemonium_viscosum_1988_resources_panel,,assistant_abstract_screen,2026-07 
