priority_rank,priority_score,frame_id,doi,title,year,query_ids,route_signal_title_abstract,access_signal_title_abstract,quant_signal_title_abstract,explicit_secondary_title,fulltext_triage_lane,openalex_ids,review_state
11,9,bib_b59b9917b1b1adce,10.1371/journal.pone.0055914,Floral Nectar Guide Patterns Discourage Nectar Robbing by Bumble Bees,2013,Q3|Q6,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W1963768338,UNRESOLVED_DIRECTION_BLIND
12,9,bib_2dfe8319a8aee075,10.1371/journal.pone.0112013,"Gloss, Colour and Grip: Multifunctional Epidermal Cell Shapes in Bee- and Bird-Pollinated Flowers",2014,Q4,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2148710213,UNRESOLVED_DIRECTION_BLIND
13,9,bib_9abfd47d28b42c30,10.1371/journal.pone.0144585,Impact of Striped-Squirrel Nectar-Robbing Behaviour on Gender Fitness in Alpinia roxburghii Sweet (Zingiberaceae),2015,Q5|Q7,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2282457855,UNRESOLVED_DIRECTION_BLIND
14,9,bib_a7eb0f3c2bf2ed31,10.1016/j.rmb.2016.09.004,"Nectar robbing in Collaea cipoensis (Fabaceae), an endemic shrub of the Brazilian rupestrian grasslands",2016,Q3|Q6,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2550869983,UNRESOLVED_DIRECTION_BLIND
15,9,bib_0b3208c353cefdd2,10.1371/journal.pone.0225252,I’ve been robbed! – Can changes in floral traits discourage bee pollination?,2019,Q6|Q7,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2990630918,UNRESOLVED_DIRECTION_BLIND
16,9,bib_828ac70a5c49bce0,10.1016/j.agee.2020.107189,"Landscape crop diversity and semi-natural habitat affect crop pollinators, pollination benefit and yield",2020,Q6|Q7,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3094106515,UNRESOLVED_DIRECTION_BLIND
17,9,bib_d84fed937eac24c7,10.26786/1920-7603(2021)630,Consequences of the high abundance of Bombus terrestris on the pollination of Vicia faba,2021,Q7,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3206800331,UNRESOLVED_DIRECTION_BLIND
18,9,bib_5e1d9e73a76beec1,10.12657/denbio.085.0011,Passerine birds supporting cross pollination in Erythrina stricta Roxb.,2021,Q6,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3169090098,UNRESOLVED_DIRECTION_BLIND
19,9,bib_80b024b00c232493,10.1002/ecs2.4696,Cheaters among pollinators: Nectar robbing and thieving vary spatiotemporally with floral traits in Afrotropical forests,2023,Q3|Q6,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4388776165,UNRESOLVED_DIRECTION_BLIND
20,9,bib_661204233c8645b7,10.21203/rs.3.rs-2871656/v1,Honey bees rob flowers after observing conspecifics and carpenter bees,2023,Q8,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4372231288,UNRESOLVED_DIRECTION_BLIND
21,9,bib_815c5c719f184570,10.26786/1920-7603(2026)914,"Reproductive system, floral biology and pollinators of Abutilon grandifolium in urban green spaces of Ciudad Autónoma de Buenos Aires.",2026,Q5|Q6,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W7162750732,UNRESOLVED_DIRECTION_BLIND
22,8,bib_afb2faf9d14ed80b,,The ecology of pollination and nectar robbing in Linaria vulgaris in the Colorado Rocky Mountains,2004,Q5|Q6|Q7,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W7133015872,UNRESOLVED_DIRECTION_BLIND
23,8,bib_5090c454fa8e0c75,10.11609/jott.2276.8.5.8777-8787,"Pollination ecology of Clerodendrum inerme (L.) Gaertn. (Lamiaceae) in Coringa mangrove ecosystem, Andhra Pradesh, India",2016,Q5|Q6,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2399135742,UNRESOLVED_DIRECTION_BLIND
24,8,bib_0eb212e6b7eae7ca,10.1016/j.cub.2017.07.012,Distasteful Nectar Deters Floral Robbery,2017,Q6|Q7,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2743281604,UNRESOLVED_DIRECTION_BLIND
25,8,bib_a6c4ffd3ff7db596,10.26786/1920-7603(2020)619,Exploitation of Strobilanthes ixiocephala (Acanthaceae) flower buds by bees,2021,Q5|Q6|Q7,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3126120752,UNRESOLVED_DIRECTION_BLIND
26,8,bib_2141768160a0ed13,10.1016/j.agee.2021.107417,Landscape complexity benefits bumble bee visitation in faba bean (Vicia faba minor L.) but crop productivity is not pollinator-dependent,2021,Q6|Q7,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3150396537,UNRESOLVED_DIRECTION_BLIND
27,8,bib_c1f1ba6718a0a987,10.3389/fevo.2021.698137,The Sensory and Cognitive Ecology of Nectar Robbing,2021,Q7|Q8,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3205760949,UNRESOLVED_DIRECTION_BLIND
28,8,bib_f65e7d7c948ba7e4,10.3389/fpls.2021.767725,Breeding System and Response of the Pollinator to Floral Larceny and Florivory Define the Reproductive Success in Aerides odorata,2022,Q5|Q6,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4206194090,UNRESOLVED_DIRECTION_BLIND
29,8,bib_7d976fdb88bc9d17,10.26786/1920-7603(2022)685,"Hawaiian Endemic Honeycreepers (Drepanidinae) are Nectar Robbers of the Invasive Banana Poka (Passiflora tarminiana, Passifloraceae)",2022,Q6,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4224267961,UNRESOLVED_DIRECTION_BLIND
30,8,bib_dcea2eaa21242a01,10.5091/plecevo.84464,Reproductive biology and flower-visitor interactions of two bromeliad species from the Brazilian Atlantic Forest,2022,Q1|Q5|Q6,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4220842336,UNRESOLVED_DIRECTION_BLIND
31,8,bib_83798f19521fb8aa,10.26786/1920-7603(2022)663,What are the plant reproductive consequences of losing a nectar robber?,2022,Q7,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4289712009,UNRESOLVED_DIRECTION_BLIND
32,8,bib_3d6b9dc3b803dfbe,10.11609/jott.7930.14.8.21642-21650,Zoophily and nectar-robbing by sunbirds in Gardenia latifolia Ait. (Rubiaceae),2022,Q6|Q7,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4293182242,UNRESOLVED_DIRECTION_BLIND
33,8,bib_f9d561b68ffcd878,10.5852/ejt.2023.892.2283,"Bumblebees with big teeth: revising the subgenus Alpigenobombus with the good, the bad and the ugly of numts (Hymenoptera: Apidae)",2023,Q7,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4387075467,UNRESOLVED_DIRECTION_BLIND
34,8,bib_46125c08460f585c,10.58843/ornneo.v35i1.1287,NECTAR ROBBING BY THE RED-TAILED COMET SAPPHO SPARGANURUS: THE VALUE OF CITIZEN SCIENCE TO DOCUMENT INFREQUENT BEHAVIOR IN BIRDS,2024,Q1|Q2,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4392891711,UNRESOLVED_DIRECTION_BLIND
35,8,bib_b573d1273826075f,,Is bee‐avoidance by bird‐pollinated flowers driven by nectar robbing in Erica?,2025,Q1|Q4|Q5,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,,UNRESOLVED_DIRECTION_BLIND
36,8,bib_cbaefe910fa9e38b,10.55362/ijecol/2026/0106,Ecological Roles of Indian Palm Squirrels ( spp.) as Floral Funambulus Visitors Across Five Indian States: First Comprehensive Account,2026,Q5,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W7165002080,UNRESOLVED_DIRECTION_BLIND
37,8,bib_8a628c7e27cc2c51,10.26786/1920-7603(2026)909,Reproductive ecology of the aromatic plant Agastache mexicana (Lamiaceae): A valuable species to be used in urban pollinator gardens,2026,Q1|Q4|Q5,YES,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W7166358630,UNRESOLVED_DIRECTION_BLIND
38,7,bib_a3eab8cb096779c6,,HERBIVORE RESISTANCE AND POLLINATION: IMPLICATIONS FOR POLLINATION AND NECTAR ROBBING IN A DISTYLOUS PLANT',2006,Q5,YES,YES,YES,NO,NON_OA_RETAINED,W2106263507,UNRESOLVED_DIRECTION_BLIND
39,7,bib_327195a5c18ad509,10.1111/j.1469-8137.2006.01656.x,Pollination mutualisms in Caryophyllaceae,2006,Q6,YES,YES,YES,NO,NON_OA_RETAINED,W2083644587,UNRESOLVED_DIRECTION_BLIND
40,7,bib_f2012d84baac25cb,10.1111/j.1442-1984.2007.00179.x,Effect of Weigela hortensis (Caprifoliaceae) floral morphology on pollinator behavior,2007,Q5|Q6,YES,YES,YES,NO,NON_OA_RETAINED,W1964451750,UNRESOLVED_DIRECTION_BLIND
41,7,bib_d5e46fde96bfc531,10.1111/jvs.12127,Does competition for pollinators contribute to structuring Erica communities?,2013,Q5,YES,YES,YES,NO,NON_OA_RETAINED,W2128681498,UNRESOLVED_DIRECTION_BLIND
42,7,bib_d934c15c7f2e7c08,,Implicaciones ecológicas y evolutivas del robo de néctar en ecosistemas neotropicales venezolanos,2017,Q7,YES,YES,YES,NO,NON_OA_RETAINED,W2775412905,UNRESOLVED_DIRECTION_BLIND
43,7,bib_b33a7b719f8e1703,10.1590/1809-4392201703932,Biting the hand that feeds you: wedge-billed hummingbird is a nectar robber of a sicklebill-adapted Andean bellflower,2018,Q5,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2799473788,UNRESOLVED_DIRECTION_BLIND
44,7,bib_7e7a10a2518d795c,10.1002/ecs2.2943,"Geographic isolation, pollination syndromes, and pollinator generalization in HimalayanRoscoeaspp. (Zingiberaceae)",2019,Q1|Q3|Q4|Q5|Q6,YES,YES,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2984597044,UNRESOLVED_DIRECTION_BLIND
45,7,bib_3f22ae23861d174f,10.3390/biology10090903,Corolla Abscission Triggered by Nectar Robbers Positively Affects Reproduction by Enhancing Self-Pollination in Symphytum officinale (Boraginaceae),2021,Q3|Q5|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3200624213,UNRESOLVED_DIRECTION_BLIND
46,7,bib_a59575cb1b44f3ec,10.1007/s10265-021-01299-z,Corolla stickiness prevents nectar robbing in Erica,2021,Q1,YES,NO,NO,NO,NON_OA_RETAINED,W3155401674,UNRESOLVED_DIRECTION_BLIND
47,7,bib_0e6fd06703d8aa45,10.3897/jhr.95.98260,"Morphological specialisation for primary nectar robbing in a pollen specialist mining bee (Hymenoptera, Andrenidae)",2023,Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4321214117,UNRESOLVED_DIRECTION_BLIND
48,7,bib_c8830e3b1a73110a,10.5061/dryad.rn8pk0pqx,Trait matching affects the probability of nectar robbing in plant-pollinator networks,2025,Q3,YES,YES,YES,NO,NON_OA_RETAINED,W7103877548,UNRESOLVED_DIRECTION_BLIND
49,7,bib_715d8d39ac447e3e,10.1002/oik.11552,Trait matching affects the probability of nectar robbing in plant–pollinator networks,2025,Q3,YES,YES,YES,NO,NON_OA_RETAINED,W4415786484,UNRESOLVED_DIRECTION_BLIND
50,7,bib_a89ebb0521328413,10.1111/1365-2435.70415,Bird extinctions shift bill–flower trait matching in Hawaiian lobelioids,2026,Q6,YES,YES,YES,NO,NON_OA_RETAINED,W7171113167,UNRESOLVED_DIRECTION_BLIND
51,7,bib_051700fd6e545868,10.5061/dryad.sj3tx96kr,Data from: Bird extinctions shift bill-flower trait matching in Hawaiian lobelioids,2026,Q6,YES,YES,YES,NO,NON_OA_RETAINED,W7168165507,UNRESOLVED_DIRECTION_BLIND
52,7,bib_b39a072e62becfa3,10.5061/dryad.6djh9w1gz,Data from: Is bee-avoidance by bird-pollinated flowers driven by nectar robbing in Erica?,2026,Q1,YES,YES,YES,NO,NON_OA_RETAINED,W7126080938,UNRESOLVED_DIRECTION_BLIND
53,6,bib_d6a14e9f1805d195,10.3838/jjo.49.185,Nectar Robbing by the Purple-rumped Sunbird Nectarinia zeylonica from Introduced Flowers in Sri Lanka.,2000,Q7,YES,NO,NO,NO,ACCESS_ROUTE_PRESENT_QUANT_UNRESOLVED,W2044823438,UNRESOLVED_DIRECTION_BLIND
54,6,bib_a62a68ce24918469,10.1111/j.0030-1299.2005.13884.x,Effects of nectar robbing on nectar dynamics and bumblebee foraging strategies in Linaria vulgaris (Scrophulariaceae),2005,Q6|Q7,YES,YES,NO,NO,NON_OA_RETAINED,W2005995421,UNRESOLVED_DIRECTION_BLIND
55,6,bib_22cb3b2bdce6e2d4,10.1007/s00442-012-2290-3,Optimizing size thresholds in a plant–pollinator interaction web: towards a mechanistic understanding of ecological networks,2012,Q3|Q6|Q7,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W1985511583,UNRESOLVED_DIRECTION_BLIND
56,6,bib_f40cf5ddb079e74d,10.7282/t361120h,Flower Morphology Influences Pollinator Community with Implications for Cross-Pollination: Observations in Rabbiteye Blueberry (Vaccinium ashei Reade),2014,Q5,YES,YES,NO,NO,NON_OA_RETAINED,W954830938,UNRESOLVED_DIRECTION_BLIND
57,6,bib_7479dc293e92515b,10.1007/s11829-015-9379-7,The ecological role of extremely long-proboscid Neotropical butterflies (Lepidoptera: Hesperiidae) in plant-pollinator networks,2015,Q2|Q3|Q5|Q6,YES,YES,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W621648762,UNRESOLVED_DIRECTION_BLIND
58,6,bib_e92356b1befec043,,Interaction between Bombus terrestris and honeybees in red clover fields reduces abundance of other bumblebees and red clover yield,2016,Q6|Q7,YES,YES,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2565554637,UNRESOLVED_DIRECTION_BLIND
59,6,bib_fb3c1090b71be87b,10.1093/aob/mcw285,"Nectar replenishment maintains the neutral effects of nectar robbing on female reproductive success of Salvia przewalskii (Lamiaceae), a plant pollinated and robbed by bumble bees",2016,Q7,YES,YES,NO,NO,NON_OA_RETAINED,W2583318514,UNRESOLVED_DIRECTION_BLIND
60,6,bib_b5f385b825d26ff8,10.1111/plb.12581,"Pollinators shift to nectar robbers when florivory occurs, with effects on reproductive success in Iris bulleyana (Iridaceae)",2017,Q3|Q5|Q6|Q7,YES,YES,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2616217046,UNRESOLVED_DIRECTION_BLIND
61,6,bib_ccd96cdf8a355722,10.1134/s0013873818080079,"Nesting and Biology of Alastor mocsaryi (Hymenoptera, Vespidae: Eumeninae)",2018,Q5,YES,YES,NO,NO,NON_OA_RETAINED,W2917945275,UNRESOLVED_DIRECTION_BLIND
62,6,bib_6cf9d66c58ac6d8c,10.1111/een.12509,"Variation in composition of two bumble bee species across communities affects nectar robbing but maintains pollinator visitation rate to an alpine plant, Salvia przewalskii",2018,Q6|Q7,YES,YES,NO,NO,NON_OA_RETAINED,W2792624767,UNRESOLVED_DIRECTION_BLIND
63,6,bib_084795c81b66fa0e,10.1016/j.tplants.2019.04.007,Ecology of Plastic Flowers,2019,Q4|Q5,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2949514699,UNRESOLVED_DIRECTION_BLIND
64,6,bib_2a2a77069e36ad26,,Flower selection of Xylocopa violacea: aromatic and ornamental plants as resources in a botanic garden,2019,Q5,YES,YES,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2992975745,UNRESOLVED_DIRECTION_BLIND
65,6,bib_5162be4d5f2786d9,10.6084/m9.figshare.8174591,"Nectar robbing does not affect female reproductive success of an endangered Antirrhinum species, Plantaginaceae",2019,Q4,YES,YES,NO,NO,NON_OA_RETAINED,W4394343695,UNRESOLVED_DIRECTION_BLIND
66,6,bib_f69f1011e986b2fb,10.1016/j.actao.2020.103557,Does pollination syndrome reflect pollinator efficiency in Silene nutans?,2020,Q4|Q6,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3023244417,UNRESOLVED_DIRECTION_BLIND
67,6,bib_1c14ba99688aeaea,10.1007/s10886-020-01213-2,Herbivory and Time Since Flowering Shape Floral Rewards and Pollinator-Pathogen Interactions,2020,Q6,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3081944486,UNRESOLVED_DIRECTION_BLIND
68,6,bib_7f1a7835a6c1d573,10.1111/oik.06988,Nectar robbers deter legitimate pollinators by mutilating flowers,2020,Q5|Q7,YES,YES,NO,NO,NON_OA_RETAINED,W3004440386,UNRESOLVED_DIRECTION_BLIND
69,6,bib_5e7b037d0c476e76,10.1016/j.agee.2021.107447,Using ecological and field survey data to establish a national list of the wild bee pollinators of crops,2021,Q6|Q7,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3156539216,UNRESOLVED_DIRECTION_BLIND
70,6,bib_137fd568063e1dc4,10.21203/rs.3.rs-1652058/v1,Hold tight or loosen up? Functional consequences of a shift in anther architecture depend substantially on bee body size,2022,Q6,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4281626080,UNRESOLVED_DIRECTION_BLIND
71,6,bib_bda5a24e80f52b62,10.1016/j.baae.2022.03.002,"Landscape composition modifies pollinator densities, foraging behavior and yield formation in faba beans",2022,Q7,YES,YES,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4214889003,UNRESOLVED_DIRECTION_BLIND
72,6,bib_8b84d59906c9a20f,10.11609/jott.8023.14.10.22001-22007,"Nectar robbing by bees on the flowers of Volkameria inermis (Lamiaceae) in Coringa Wildlife Sanctuary, Andhra Pradesh, India",2022,Q5|Q6,YES,NO,NO,NO,ACCESS_ROUTE_PRESENT_QUANT_UNRESOLVED,W4307290976,UNRESOLVED_DIRECTION_BLIND
73,6,bib_5a22e5774ba9ad36,10.21203/rs.3.rs-7301999/v1,Diurnal variation in plant-pollinator interactions in Bumblebee-pollinated Impatiens oxyanthera at two altitudes,2025,Q3|Q6|Q7,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4413532194,UNRESOLVED_DIRECTION_BLIND
74,6,bib_79723ffefc66c045,10.21203/rs.3.rs-7190180/v1,Variation in sexual size dimorphism and fit to Rensch's rule in Costa Rican hummingbirds,2025,Q1|Q6|Q7,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4412972880,UNRESOLVED_DIRECTION_BLIND
75,6,bib_88d404e8aedb2a2e,10.6084/m9.figshare.32325837,Data from: Blueberry floral morphology influences pollinator visitation and behavioural patterns,2026,Q5|Q6,YES,YES,NO,NO,NON_OA_RETAINED,W7163542668,UNRESOLVED_DIRECTION_BLIND
76,6,bib_4fec8b096c8077c4,10.6084/m9.figshare.32325837.v1,Data from: Blueberry floral morphology influences pollinator visitation and behavioural patterns,2026,Q5|Q6,YES,YES,NO,NO,NON_OA_RETAINED,W7163518526,UNRESOLVED_DIRECTION_BLIND
77,6,bib_bc97a9ea2a1168a5,10.1016/j.cub.2026.02.067,Divergent nectar-feeding mechanisms evidenced by intralingual suction in sunbirds,2026,Q5|Q6,NO,NO,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W7141379390,UNRESOLVED_DIRECTION_BLIND
78,4,bib_1e5be5d609df8cc1,10.1371/journal.pone.0102607,Nectar Robbing Positively Influences the Reproductive Success of Tecomella undulata (Bignoniaceae),2014,Q5,YES,NO,YES,NO,ROUTE_PRESENT_ACCESS_UNRESOLVED,W2020406739,UNRESOLVED_DIRECTION_BLIND
79,3,bib_aa3ba57128a646e0,10.1046/j.1365-2745.2001.00512.x,Variation in floral sex allocation and reproductive success within inflorescences of Corydalis ambigua (Fumariaceae): pollination efficiency or resource limitation?,2001,Q4,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2010209270,UNRESOLVED_DIRECTION_BLIND
80,3,bib_c8cea98b13386101,10.1890/07-1491.1,ALIEN BUMBLE BEE AFFECTS NATIVE PLANT REPRODUCTION THROUGH INTERACTIONS WITH NATIVE BUMBLE BEES,2008,Q3|Q5|Q6,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2072695199,UNRESOLVED_DIRECTION_BLIND
81,3,bib_f411c04b690f1e51,10.1111/j.1420-9101.2008.01669.x,Selective nectar robbing in a gynodioecious plant (Glechoma longituba) enhances female advantage,2008,Q1|Q2|Q4|Q5,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2022629354,UNRESOLVED_DIRECTION_BLIND
82,3,bib_0b56cca73495f9a5,,The Role of Pollinator Shifts in the Floral Diversification of Iochroma (Solanaceae),2008,Q1|Q3|Q5,NO,YES,YES,NO,NON_OA_RETAINED,W2120142743,UNRESOLVED_DIRECTION_BLIND
83,3,bib_d38488cd1245d244,10.1111/j.1365-2664.2009.01759.x,Oilseed rape crops distort plant–pollinator interactions,2009,Q7,YES,NO,YES,NO,NON_OA_RETAINED,W1977909820,UNRESOLVED_DIRECTION_BLIND
84,3,bib_66bc6e63213f70e3,10.3732/ajb.1000450,"Soil fungal effects on floral signals, rewards, and aboveground interactions in an alpine pollination web",2011,Q4,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2152647674,UNRESOLVED_DIRECTION_BLIND
85,3,bib_46c2bc2bc713051d,10.1371/journal.pone.0067556,Do Honeybees Shape the Bacterial Community Composition in Floral Nectar?,2013,Q6,YES,NO,NO,NO,ROUTE_PRESENT_ACCESS_UNRESOLVED,W1972109159,UNRESOLVED_DIRECTION_BLIND
86,3,bib_7100d1a82fc8e222,10.17520/biods.2015102,Effects of nectar robbing on pollinator behavior and pollination success in facultative selfing Incarvillea sinensis var. sinensis,2015,Q3,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2582737264,UNRESOLVED_DIRECTION_BLIND
87,3,bib_899d0c041d64ec36,10.1111/oik.2017.v126.i9,Foraging strategy predicts foraging economy in a facultative secondary nectar robber,2017,Q6|Q7,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4243010376,UNRESOLVED_DIRECTION_BLIND
88,3,bib_0a562b7cb6983534,10.23860/thesis-tucker-sara-2018,CARPENTER BEE NECTAR ROBBERY EFFECTS ON FRUIT QUALITY AND NESTING PROVISIONS IN RHODE ISLAND,2018,Q1|Q2,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2908914472,UNRESOLVED_DIRECTION_BLIND
89,3,bib_9243f6eab2bfec1b,10.1111/1365-2664.13121,Coordinated species importation policies are needed to reduce serious invasions globally: The case of alien bumblebees in South America,2018,Q7,YES,NO,NO,NO,ROUTE_PRESENT_ACCESS_UNRESOLVED,W2794347144,UNRESOLVED_DIRECTION_BLIND
90,3,bib_c3fa4909a44ad366,10.17863/cam.48560,Effects of plant viral pathogens on plant-pollinator relationships,2020,Q3|Q4|Q5|Q7,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3021161820,UNRESOLVED_DIRECTION_BLIND
91,3,bib_330024f0c7b430f2,10.7302/3062,Bee-Plant Interactions in Coffee Agroecosystems: Management and Matrix Effects on Mutualistic and Antagonistic Relationships,2021,Q4,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4287536459,UNRESOLVED_DIRECTION_BLIND
