frame_id,title,openalex_ids,openalex_types,provider_ids_missing,document_type_state
bib_7e7a10a2518d795c,"Geographic isolation, pollination syndromes, and pollinator generalization in HimalayanRoscoeaspp. (Zingiberaceae)",W2984597044,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_17656738a56de327,Nectar robbing rather than pollinator availability constrains reproduction of a bee‐flowered plant at high elevations,W4282835713,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_80b024b00c232493,Cheaters among pollinators: Nectar robbing and thieving vary spatiotemporally with floral traits in Afrotropical forests,W4388776165,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_30b5a341b998d017,Costs and benefits of alternative food handling tactics help explain facultative exploitation of pollination mutualisms,W2803152041,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_715d8d39ac447e3e,Trait matching affects the probability of nectar robbing in plant–pollinator networks,W4415786484,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c2c39b498d9d8a60,Reproductive Isolation in a Native Population of Petunia sensu Jussieu (Solanaceae),W2131965316,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_22cb3b2bdce6e2d4,Optimizing size thresholds in a plant–pollinator interaction web: towards a mechanistic understanding of ecological networks,W1985511583,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_e8bd4df2fe17833d,Causes and consequences of floral damage in Aconitum lycoctonum at high and low elevations in Switzerland,W2029202857,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b08ee59b8d6f2971,Pollinators and nectar robbers cause directional selection for large spur circle in Impatiens oxyanthera (Balsaminaceae),W2062696305,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_19293da9e4c1d3f6,Pollination biology and breeding system in five nocturnal species of Oenothera (Onagraceae): reproductive assurance and opportunities for outcrossing,W2893074675,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_a59575cb1b44f3ec,Corolla stickiness prevents nectar robbing in Erica,W3155401674,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_f0e0efaf30f230ab,Morphological and behavioural adaptations to feed on nectar: how feeding ecology determines the diversity and composition of hummingbird assemblages,W2009515057,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_60879bff3b334163,The relative strength of different floral visitors driving floral evolution within a Primula secundiflora population,W2898669620,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_1c14ba99688aeaea,Herbivory and Time Since Flowering Shape Floral Rewards and Pollinator-Pathogen Interactions,W3081944486,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_08e02fa6a4e05955,"Multiscale spatial analysis of two plant–insect interactions: effects of landscape, resource distribution, and other insects",W4402186419,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_4f3e9da01e33c940,Exotic insect pollinators and native pollination systems,W3189282736,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_7faf7004c1a8365f,Community‐dependent foraging habits of flower visitors: cascading indirect interactions among five bumble bee species,W2047606736,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_7479dc293e92515b,The ecological role of extremely long-proboscid Neotropical butterflies (Lepidoptera: Hesperiidae) in plant-pollinator networks,W621648762,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_ad44b35837e7a16f,Attraction of florivores and larcenists and interaction between antagonists in Senna rugosa (Fabaceae),W3169138107,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_0134dcf1a8d99b83,Bumblebee floral neighbors promote nectar robbing in a hummingbird-pollinated plant species in Patagonia,W4220904079,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_dcdd42f20d4dd53f,Drought stress and intercropping affect pollinator behavior via altered plant and flower traits in a legume,W4413052621,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b9570129a74f5aa7,Nectar concentrating behavior by bees (Hymenoptera: Anthophila),W4200061120,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_ac935441f5619bb1,Deconstructing and contextualizing foraging behavior in bumble bees and other central place foragers,W4283205200,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_a4fb6e5b76fb2a53,A scientific note on pollinators’ ability to overcome exploitation barriers: deep hummingbird-evolved corollas and small-sized bees,W4386098228,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_1c336d52469ecbc3,Integrating morphological and molecular perspectives on foraging tactic constancy in a nectar-robbing bumble bee,W7211909473,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_16625e756d3fd68d,Massively Introduced Managed Species and Their Consequences for Plant–Pollinator Interactions,W2572050383,book-chapter,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_bacb02d22e086c49,Invasive bees and their impact on agriculture,W3082112715,book-chapter,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_f69f1011e986b2fb,Does pollination syndrome reflect pollinator efficiency in Silene nutans?,W3023244417,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_828ac70a5c49bce0,"Landscape crop diversity and semi-natural habitat affect crop pollinators, pollination benefit and yield",W3094106515,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_2141768160a0ed13,Landscape complexity benefits bumble bee visitation in faba bean (Vicia faba minor L.) but crop productivity is not pollinator-dependent,W3150396537,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_5e7b037d0c476e76,Using ecological and field survey data to establish a national list of the wild bee pollinators of crops,W3156539216,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_126c39175772c1a1,"Wild plants in hedgerows and weeds in crop fields are important floral resources for wild flower-visiting insects, independently of the presence of intercrops",W4321196219,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_26e8f323efe41652,Invasive bumble bees reduce nectar availability for honey bees by robbing raspberry flower buds,W2578084137,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_1baf78f425aaef12,The relation between oilseed rape and pollination of later flowering plants varies across plant species and landscape contexts,W2744217359,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_bda5a24e80f52b62,"Landscape composition modifies pollinator densities, foraging behavior and yield formation in faba beans",W4214889003,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_33c1f2d9110f96fd,"Habitat and flower resource partitioning by an exotic and three native bumble bees in central Hokkaido, Japan",W2134595804,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_bc57c52a0b0a4d48,The behavioral ecology of nectar robbing: why be tactic constant?,W2616831229,review,,EXCLUDED_SECONDARY_TYPE
bib_0eb212e6b7eae7ca,Distasteful Nectar Deters Floral Robbery,W2743281604,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_bc97a9ea2a1168a5,Divergent nectar-feeding mechanisms evidenced by intralingual suction in sunbirds,W7141379390,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_0e9bfb452de6a504,"Floral biology, nectar secretion pattern and fruit set of a threatened Bignoniaceae tree from Brazilian tropical forest",W2564571744,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_e4f4e6909f887990,Floral tea polyphenols can improve honey bee memory retention and olfactory sensitivity,W3108793625,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_a7eb0f3c2bf2ed31,"Nectar robbing in Collaea cipoensis (Fabaceae), an endemic shrub of the Brazilian rupestrian grasslands",W2550869983,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_084795c81b66fa0e,Ecology of Plastic Flowers,W2949514699,review,,EXCLUDED_SECONDARY_TYPE
bib_fb2bf0a6fbfdc293,"Phylogenetics and diversification of tanagers (Passeriformes: Thraupidae), the largest radiation of Neotropical songbirds",W2017093604,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_40116bbe901f343f,Reproductive biology and effect of nectar robbing on fruit production in Macleania bullata (Ericaceae),W2111800605,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_def87a0868b826b0,"Lack of pollinators selects for increased selfing, restricted gene flow and resource allocation in the rare Mediterranean sage Salvia brachyodon",W4392297428,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_5e5baa1e5cc7380a,Asymmetrical disassortative pollination in a distylous primrose: the complementary roles of bumblebee nectar robbers and syrphid flies,W2024969640,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_aa3ba57128a646e0,Variation in floral sex allocation and reproductive success within inflorescences of Corydalis ambigua (Fumariaceae): pollination efficiency or resource limitation?,W2010209270,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b10e9b456a404643,Foraging behavior and pollinating effectiveness of Osmia cornuta (Hymenoptera: Megachilidae) and Apis mellifera (Hymenoptera: Apidae) on ?Comice? pear,W2111738423,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_fcae56bb368ff9eb,A century of advances in bumblebee domestication and the economic and environmental aspects of its commercialization for pollination,W2068869349,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_fb3c1090b71be87b,"Nectar replenishment maintains the neutral effects of nectar robbing on female reproductive success of Salvia przewalskii (Lamiaceae), a plant pollinated and robbed by bumble bees",W2583318514,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_0510c4fc01a42923,Do flowers removed of either nectar or pollen attract fewer bumblebee pollinators? An experimental test in Impatiens oxyanthera,W3166897683,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_170717bae4c34f7a,Rainwater in cupulate bracts repels seed herbivores in a bumblebee-pollinated subalpine flower,W2159420147,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_d58b1908944ad958,The conspicuously large bracts influence reproductive success in Thunia alba (Orchidaceae),W4388594823,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_79815198d6693b38,Morphofunctional Traits and Pollination Mechanisms ofCoronilla emerusL. Flowers (Fabaceae),W1988052944,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_172833b541c798a2,"Nectar larceny in the trainbearers ( Lesbia , Trochilidae)",W3034985661,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_32f41f09f857e20b,Cheaters among pollinators: Floral traits drive spatiotemporal variation in nectar robbing and thieving in Afrotropical rainforests,W4280500629,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_12852c2f74e2f976,The Role of Similarity of Stimuli and Responses in Learning by Nectar-Foraging Bumble Bees: A Test of Osgood’s Model,W4395954432,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_a89ebb0521328413,Bird extinctions shift bill–flower trait matching in Hawaiian lobelioids,W7171113167,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_9243f6eab2bfec1b,Coordinated species importation policies are needed to reduce serious invasions globally: The case of alien bumblebees in South America,W2794347144,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c525b9750b6f06a9,Nectar thieves influence reproductive fitness by altering behaviour of nectar robbers and legitimate pollinators in C orydalis ambigua ( F umariaceae),W2019232228,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b46c4b7fbdf0146a,Long corolla flowers in Tropical Andes favour nectar robbing by the Black Metaltail hummingbird: A study using citizen science and field observations,W4402499914,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_7733e6754af71934,The Structure of Sunbird Floral Visitation and Pollen Transport Networks From an Afrotropical Agricultural Landscape,W4410974607,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c2e6e8576f7ae5e8,When Bigger Is not Better: Corolla Length Increases Nectar Robbing in Aloe secundiflora Engl. (Asphodelaceae),W7207612347,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_6cf9d66c58ac6d8c,"Variation in composition of two bumble bee species across communities affects nectar robbing but maintains pollinator visitation rate to an alpine plant, Salvia przewalskii",W2792624767,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_a62a68ce24918469,Effects of nectar robbing on nectar dynamics and bumblebee foraging strategies in Linaria vulgaris (Scrophulariaceae),W2005995421,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_d38488cd1245d244,Oilseed rape crops distort plant–pollinator interactions,W1977909820,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_f411c04b690f1e51,Selective nectar robbing in a gynodioecious plant (Glechoma longituba) enhances female advantage,W2022629354,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_f2012d84baac25cb,Effect of Weigela hortensis (Caprifoliaceae) floral morphology on pollinator behavior,W1964451750,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_e4c068bb554dbd6b,Differential effects of anthropogenic edges and gaps on the reproduction of a forest‐dwelling plant: The role of plant reproductive effort and nectar robbing by bumblebees,W1499119639,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_327195a5c18ad509,Pollination mutualisms in Caryophyllaceae,W2083644587,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_7f8f649207fd20bd,Selective seed abortion induced by nectar robbing in the selfing plant Comastoma pulmonarium,W2101437210,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_d5e46fde96bfc531,Does competition for pollinators contribute to structuring Erica communities?,W2128681498,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_7f1a7835a6c1d573,Nectar robbers deter legitimate pollinators by mutilating flowers,W3004440386,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_899d0c041d64ec36,Foraging strategy predicts foraging economy in a facultative secondary nectar robber,W4243010376,paratext,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b5f385b825d26ff8,"Pollinators shift to nectar robbers when florivory occurs, with effects on reproductive success in Iris bulleyana (Iridaceae)",W2616217046,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_ccd96cdf8a355722,"Nesting and Biology of Alastor mocsaryi (Hymenoptera, Vespidae: Eumeninae)",W2917945275,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_1af162d92dce290a,Large Carpenter Bees as Agricultural Pollinators,W2006791638,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_5090c454fa8e0c75,"Pollination ecology of Clerodendrum inerme (L.) Gaertn. (Lamiaceae) in Coringa mangrove ecosystem, Andhra Pradesh, India",W2399135742,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_3d6b9dc3b803dfbe,Zoophily and nectar-robbing by sunbirds in Gardenia latifolia Ait. (Rubiaceae),W4293182242,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_8b84d59906c9a20f,"Nectar robbing by bees on the flowers of Volkameria inermis (Lamiaceae) in Coringa Wildlife Sanctuary, Andhra Pradesh, India",W4307290976,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_5e1d9e73a76beec1,Passerine birds supporting cross pollination in Erythrina stricta Roxb.,W3169090098,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_846c49d03b0f589d,Nectar Theft and Floral Ant-Repellence: A Link between Nectar Volume and Ant-Repellent Traits?,W2124592271,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b59b9917b1b1adce,Floral Nectar Guide Patterns Discourage Nectar Robbing by Bumble Bees,W1963768338,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_46c2bc2bc713051d,Do Honeybees Shape the Bacterial Community Composition in Floral Nectar?,W1972109159,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_1e5be5d609df8cc1,Nectar Robbing Positively Influences the Reproductive Success of Tecomella undulata (Bignoniaceae),W2020406739,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_2dfe8319a8aee075,"Gloss, Colour and Grip: Multifunctional Epidermal Cell Shapes in Bee- and Bird-Pollinated Flowers",W2148710213,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_9abfd47d28b42c30,Impact of Striped-Squirrel Nectar-Robbing Behaviour on Gender Fitness in Alpinia roxburghii Sweet (Zingiberaceae),W2282457855,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_0b3208c353cefdd2,I’ve been robbed! – Can changes in floral traits discourage bee pollination?,W2990630918,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_37032fe1400e10a8,Socioecological drivers of mutualistic and antagonistic plant-insect interactions and interaction outcomes in suburban landscapes,W4404399337,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b33a7b719f8e1703,Biting the hand that feeds you: wedge-billed hummingbird is a nectar robber of a sicklebill-adapted Andean bellflower,W2799473788,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_7100d1a82fc8e222,Effects of nectar robbing on pollinator behavior and pollination success in facultative selfing Incarvillea sinensis var. sinensis,W2582737264,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c3fa4909a44ad366,Effects of plant viral pathogens on plant-pollinator relationships,W3021161820,dissertation,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c8cea98b13386101,ALIEN BUMBLE BEE AFFECTS NATIVE PLANT REPRODUCTION THROUGH INTERACTIONS WITH NATIVE BUMBLE BEES,W2072695199,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_01f8d50b93a83f40,共生関係にひそむ第三者 : 花蜜を利用する酵母・細菌が変える植物-送粉者相互作用,W1482440340,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c23816cb58cf7df4,The Hidden Benefits of Pollinator Diversity for the Rangelands of the Great Plains: Western Prairie Fringed Orchids as a Case Study,W1990480896,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_661204233c8645b7,Honey bees rob flowers after observing conspecifics and carpenter bees,W4372231288,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_9823e07a94137837,"WITHDRAWN: Floral biology, pollinators and reproductive success of Abutilon grandifolium in urban green spaces of Ciudad Autónoma de Buenos Aires",W4393144327,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_79723ffefc66c045,Variation in sexual size dimorphism and fit to Rensch's rule in Costa Rican hummingbirds,W4412972880,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_be1a4b1532143bef,Novel nectar robbing negatively affects reproduction in Digitalis purpurea,W4244963952,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_f2577ec500e81b01,"NECTAR ROBBING BY THE RED-TAILED COMET ( SAPPHO SPARGANURUS , TROCHILIDAE): THE VALUE OF CITIZEN SCIENCE TO DOCUMENT INFREQUENT BEHAVIOR IN BIRDS",W4390226201,preprint,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_0a562b7cb6983534,CARPENTER BEE NECTAR ROBBERY EFFECTS ON FRUIT QUALITY AND NESTING PROVISIONS IN RHODE ISLAND,W2908914472,dissertation,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c51c1a43e7b8eff2,The Hidden Benefits of Pollinator Diversity for the Rangelands of the Great Plains: Western Prairie Fringed Orchids as a Case Study,W4231772903,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_41784e8587a25d89,"Two new Nearctic genera in the tribe Odynerini s. str. revealed on the bionomics and morphology, with a comment on the cocoons of the eumenine wasps (Hymenoptera: Vespidae: Eumeninae)",W3133801514,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_a6c4ffd3ff7db596,Exploitation of Strobilanthes ixiocephala (Acanthaceae) flower buds by bees,W3126120752,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_d84fed937eac24c7,Consequences of the high abundance of Bombus terrestris on the pollination of Vicia faba,W3206800331,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_83798f19521fb8aa,What are the plant reproductive consequences of losing a nectar robber?,W4289712009,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_7d976fdb88bc9d17,"Hawaiian Endemic Honeycreepers (Drepanidinae) are Nectar Robbers of the Invasive Banana Poka (Passiflora tarminiana, Passifloraceae)",W4224267961,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_8a628c7e27cc2c51,Reproductive ecology of the aromatic plant Agastache mexicana (Lamiaceae): A valuable species to be used in urban pollinator gardens,W7166358630,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_815c5c719f184570,"Reproductive system, floral biology and pollinators of Abutilon grandifolium in urban green spaces of Ciudad Autónoma de Buenos Aires.",W7162750732,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c1f1ba6718a0a987,The Sensory and Cognitive Ecology of Nectar Robbing,W3205760949,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_f65e7d7c948ba7e4,Breeding System and Response of the Pollinator to Floral Larceny and Florivory Define the Reproductive Success in Aerides odorata,W4206194090,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_3f22ae23861d174f,Corolla Abscission Triggered by Nectar Robbers Positively Affects Reproduction by Enhancing Self-Pollination in Symphytum officinale (Boraginaceae),W3200624213,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_94e64e0ef15a0c2f,A Decrease in the Staminode-Mediated Visitor Screening Mechanism in Response to Nectar Robbers Positively Affects Reproduction in Delphinium caeruleum Jacq. ex Camb. (Ranunculaceae),W4291000381,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_05221cb1f2fdd354,"Foraging Behavior of Two Pollen Wasp Species of the Genus Celonites Latreille, 1802 (Hymenoptera: Vespidae: Masarinae), from the Altai Mountains",W4366988507,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_31c9a3599bb72584,"Visual-, Olfactory-, and Nectar-Taste-Based Flower Aposematism",W4391324404,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_bf5c36a20bd7f43e,Spatiotemporal Variations in Nectar Robbing and Its Effects on Reproduction in Salvia castanea Diels (Lamiaceae),W4412593772,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_66bc6e63213f70e3,"Soil fungal effects on floral signals, rewards, and aboveground interactions in an alpine pollination web",W2152647674,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_89032de33936f617,A review for the pollinators of Papilionaceous flowers,W3142164350,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_d6a14e9f1805d195,Nectar Robbing by the Purple-rumped Sunbird Nectarinia zeylonica from Introduced Flowers in Sri Lanka.,W2044823438,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c33fd078b7d58985,"Nectar robbing from Hibiscus flowers by White-eyes on an oceanic island, Chichi-jima, Bonin Islands",W2313914762,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_0e6fd06703d8aa45,"Morphological specialisation for primary nectar robbing in a pollen specialist mining bee (Hymenoptera, Andrenidae)",W4321214117,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_d6bd9f940759602d,"Genetic variation, mating system, and nectar robbery in Aconitum lycoctonum (Ranunculaceae)",W1038216564,dissertation,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_ede1eb7ee4fc3b00,Nectar chemistry is tailored for both attraction of mutualists and protection from exploiters,W2169287124,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_a909070feb69926e,"Geographic Variation in Flower Size and Flower-Visitor Composition of Two Bumblebee-Pollinated, Spring-Flowering Herbs, Lamium album L. var. barbatum (Lamiaceae) and Meehania urticifolia (Lamiaceae)",W1991428849,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b39a072e62becfa3,Data from: Is bee-avoidance by bird-pollinated flowers driven by nectar robbing in Erica?,W7126080938,dataset,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c8830e3b1a73110a,Trait matching affects the probability of nectar robbing in plant-pollinator networks,W7103877548,dataset,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_051700fd6e545868,Data from: Bird extinctions shift bill-flower trait matching in Hawaiian lobelioids,W7168165507,dataset,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_dcea2eaa21242a01,Reproductive biology and flower-visitor interactions of two bromeliad species from the Brazilian Atlantic Forest,W4220842336,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_861be4d7a3fde84d,Blueberry floral morphology influences pollinator visitation and behavioural patterns,W7164409219,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_140c730a1f020aa4,"Robo de néctar en plantas ornamentales en Santa Clara, Cuba Nectar robbing in ornamental plants in Santa Clara, Cuba",W4287363617,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_ab1473f0b34aa734,"Robo de néctar en plantas ornamentales en Santa Clara, Cuba Nectar robbing in ornamental plants in Santa Clara, Cuba",W4320855641,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_f2a43262ef895d35,Conservation of wild bees in agricultural landscapes through intercropping and habitat management,W4408361522,dissertation,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
