frame_id,doi,title,year,source_identifier,text_chars,body_chars,reference_cut_applied,route_body_count,access_body_count,quant_body_count,route_access_quant_cooccurrence_windows,methods_heading_present,results_heading_present,body_triage_lane
bib_46125c08460f585c,10.58843/ornneo.v35i1.1287,NECTAR ROBBING BY THE RED-TAILED COMET SAPPHO SPARGANURUS: THE VALUE OF CITIZEN SCIENCE TO DOCUMENT INFREQUENT BEHAVIOR IN BIRDS,2024,https://journals.sfu.ca/ornneo/index.php/ornneo/article/download/1287/767,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_5090c454fa8e0c75,10.11609/jott.2276.8.5.8777-8787,"Pollination ecology of Clerodendrum inerme (L.) Gaertn. (Lamiaceae) in Coringa mangrove ecosystem, Andhra Pradesh, India",2016,https://threatenedtaxa.org/index.php/JoTT/article/download/2276/3634,108570,108570,NO,20,1,1,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_5a22e5774ba9ad36,10.21203/rs.3.rs-7301999/v1,Diurnal variation in plant-pollinator interactions in Bumblebee-pollinated Impatiens oxyanthera at two altitudes,2025,https://www.researchsquare.com/article/rs-7301999/latest.pdf,48551,33024,YES,0,19,31,0,NO,NO,EXCLUDE_NO_ROUTE_SIGNAL_IN_MAIN_TEXT
bib_5e1d9e73a76beec1,10.12657/denbio.085.0011,Passerine birds supporting cross pollination in Erythrina stricta Roxb.,2021,https://www.idpan.poznan.pl/images/stories/dendrobiology/vol85/denbio.085.011.pdf,43151,43151,NO,8,1,20,2,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_5e7b037d0c476e76,10.1016/j.agee.2021.107447,Using ecological and field survey data to establish a national list of the wild bee pollinators of crops,2021,http://nora.nerc.ac.uk/id/eprint/530415/1/N530415PP.pdf,60099,60099,NO,1,5,4,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_661204233c8645b7,10.21203/rs.3.rs-2871656/v1,Honey bees rob flowers after observing conspecifics and carpenter bees,2023,https://www.researchsquare.com/article/rs-2871656/latest.pdf,42584,32948,YES,22,1,41,1,YES,YES,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_79723ffefc66c045,10.21203/rs.3.rs-7190180/v1,Variation in sexual size dimorphism and fit to Rensch's rule in Costa Rican hummingbirds,2025,https://www.researchsquare.com/article/rs-7190180/latest.pdf,46685,30631,YES,3,4,18,2,YES,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_7d976fdb88bc9d17,10.26786/1920-7603(2022)685,"Hawaiian Endemic Honeycreepers (Drepanidinae) are Nectar Robbers of the Invasive Banana Poka (Passiflora tarminiana, Passifloraceae)",2022,https://curis.ku.dk/ws/files/311133570/document_1_.pdf,43273,43273,NO,22,1,11,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_80b024b00c232493,10.1002/ecs2.4696,Cheaters among pollinators: Nectar robbing and thieving vary spatiotemporally with floral traits in Afrotropical forests,2023,https://iris.unil.ch/bitstreams/d5398e1d-eac3-47ae-9ef5-95c7f687c43e/download,90838,90838,NO,62,11,36,24,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_815c5c719f184570,10.26786/1920-7603(2026)914,"Reproductive system, floral biology and pollinators of Abutilon grandifolium in urban green spaces of Ciudad Autónoma de Buenos Aires.",2026,https://pollinationecology.org/index.php/jpe/article/download/914/636,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_828ac70a5c49bce0,10.1016/j.agee.2020.107189,"Landscape crop diversity and semi-natural habitat affect crop pollinators, pollination benefit and yield",2020,https://pub.epsilon.slu.se/21368/1/raderschall_c_a_et_al_210120.pdf,178640,178640,NO,13,2,71,3,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_83798f19521fb8aa,10.26786/1920-7603(2022)663,What are the plant reproductive consequences of losing a nectar robber?,2022,https://pollinationecology.org/index.php/jpe/article/download/663/354,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_846c49d03b0f589d,10.1371/journal.pone.0043869,Nectar Theft and Floral Ant-Repellence: A Link between Nectar Volume and Ant-Repellent Traits?,2012,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0043869&type=printable,60694,49336,YES,18,5,15,4,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_861be4d7a3fde84d,10.5194/we-26-83-2026,Blueberry floral morphology influences pollinator visitation and behavioural patterns,2026,https://we.copernicus.org/articles/26/83/2026/we-26-83-2026.pdf,59586,59586,NO,15,62,12,3,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_8a628c7e27cc2c51,10.26786/1920-7603(2026)909,Reproductive ecology of the aromatic plant Agastache mexicana (Lamiaceae): A valuable species to be used in urban pollinator gardens,2026,https://pollinationecology.org/index.php/jpe/article/download/909/637,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_9abfd47d28b42c30,10.1371/journal.pone.0144585,Impact of Striped-Squirrel Nectar-Robbing Behaviour on Gender Fitness in Alpinia roxburghii Sweet (Zingiberaceae),2015,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0144585&type=printable,84432,70564,YES,30,1,28,0,YES,YES,RETAIN_BODY_SIGNALS_SEPARATED
bib_a6c4ffd3ff7db596,10.26786/1920-7603(2020)619,Exploitation of Strobilanthes ixiocephala (Acanthaceae) flower buds by bees,2021,https://pollinationecology.org/index.php/jpe/article/download/619/199,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_a7eb0f3c2bf2ed31,10.1016/j.rmb.2016.09.004,"Nectar robbing in Collaea cipoensis (Fabaceae), an endemic shrub of the Brazilian rupestrian grasslands",2016,https://revista.ib.unam.mx/index.php/bio/article/download/1353/1382,22855,22855,NO,33,1,6,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_a909070feb69926e,10.4236/ajps.2015.65079,"Geographic Variation in Flower Size and Flower-Visitor Composition of Two Bumblebee-Pollinated, Spring-Flowering Herbs, Lamium album L. var. barbatum (Lamiaceae) and Meehania urticifolia (Lamiaceae)",2015,http://www.scirp.org/journal/PaperDownload.aspx?paperID=54920,37003,27564,YES,25,27,21,25,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_afb2faf9d14ed80b,,The ecology of pollination and nectar robbing in Linaria vulgaris in the Colorado Rocky Mountains,2004,https://utoronto.scholaris.ca/bitstreams/5a992bd6-b73d-4080-a496-d18e83750334/download,196054,196054,NO,184,27,68,48,YES,YES,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_b573d1273826075f,,Is bee‐avoidance by bird‐pollinated flowers driven by nectar robbing in Erica?,2025,https://www.repository.cam.ac.uk/bitstreams/89a4cc5d-b853-4581-b219-863ffe0e458a/download,84657,84657,NO,51,25,50,31,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_b59b9917b1b1adce,10.1371/journal.pone.0055914,Floral Nectar Guide Patterns Discourage Nectar Robbing by Bumble Bees,2013,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0055914&type=printable,45323,33208,YES,24,1,17,7,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_bb0187a90bd94687,10.55905/rdelosv16.n42-026,Reproductive success and production of nectar in Mandevilla funiformis (Apocynaceae): accessibility to visitors and effect of floral stage,2023,https://ojs.revistadelos.com/ojs/index.php/delos/article/download/806/746,60698,60698,NO,46,4,2,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_bc97a9ea2a1168a5,10.1016/j.cub.2026.02.067,Divergent nectar-feeding mechanisms evidenced by intralingual suction in sunbirds,2026,https://dipot.ulb.ac.be/dspace/bitstream/2013/407662/3/2026-Sunbird-nectar-feeding.pdf,98881,98881,NO,1,2,33,0,NO,YES,RETAIN_BODY_SIGNALS_SEPARATED
bib_c1f1ba6718a0a987,10.3389/fevo.2021.698137,The Sensory and Cognitive Ecology of Nectar Robbing,2021,https://www.frontiersin.org/articles/10.3389/fevo.2021.698137/pdf,75774,75774,NO,98,2,12,5,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_c33fd078b7d58985,10.3838/jjo.60.228,"Nectar robbing from Hibiscus flowers by White-eyes on an oceanic island, Chichi-jima, Bonin Islands",2011,https://www.jstage.jst.go.jp/article/jjo/60/2/60_2_228/_pdf,14277,14277,NO,5,1,15,4,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_cbaefe910fa9e38b,10.55362/ijecol/2026/0106,Ecological Roles of Indian Palm Squirrels ( spp.) as Floral Funambulus Visitors Across Five Indian States: First Comprehensive Account,2026,https://www.indianjecol.org/manuscripts/254/download,69056,50600,YES,18,2,10,2,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_d84fed937eac24c7,10.26786/1920-7603(2021)630,Consequences of the high abundance of Bombus terrestris on the pollination of Vicia faba,2021,https://pollinationecology.org/index.php/jpe/article/download/630/312,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_dcea2eaa21242a01,10.5091/plecevo.84464,Reproductive biology and flower-visitor interactions of two bromeliad species from the Brazilian Atlantic Forest,2022,https://plecevo.eu/article/84464/download/pdf/,74289,74289,NO,19,3,9,3,YES,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_f65e7d7c948ba7e4,10.3389/fpls.2021.767725,Breeding System and Response of the Pollinator to Floral Larceny and Florivory Define the Reproductive Success in Aerides odorata,2022,https://www.frontiersin.org/articles/10.3389/fpls.2021.767725/pdf,58526,58526,NO,28,1,30,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_f69f1011e986b2fb,10.1016/j.actao.2020.103557,Does pollination syndrome reflect pollinator efficiency in Silene nutans?,2020,https://orbi.umons.ac.be/bitstream/20.500.12907/19825/1/Vanderplanck_et_al_2020_Acta_Oecologica.pdf,97666,97666,NO,5,9,57,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_f9d561b68ffcd878,10.5852/ejt.2023.892.2283,"Bumblebees with big teeth: revising the subgenus Alpigenobombus with the good, the bad and the ugly of numts (Hymenoptera: Apidae)",2023,https://europeanjournaloftaxonomy.eu/index.php/ejt/article/download/2283/9851,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
